#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7378.326225980719    All      0.10900342280288058        0.003999892651407322      0.1275267278002313         -0.028512172131218753      
Zeropoint     AB|SDSS|SDSS_r            5117.550074633321    All      0.6773928044421242         0.3466679868537881        -0.7930967503170613        -0.14312021901686436       
Zeropoint     AB|SDSS|SDSS_i            6205.923922150819    All      1.2065142350167275         0.06508594722038907       0.49407255871668065        -0.3497525561081932        
Zeropoint     AB|SDSS|SDSS_g            3916.38932914147     All      -0.995086161530868         0.5831110889765512        0.1761151835109191         0.5219299774099072         
Check         All|All|All               All                  All      0.9978243007308644         0.9988649157021356        0.0046177197107697965      0.0005450301536308322      
Lambda        AB|SDSS|SDSS_z            7378.326225980719    All      -2.4346581254446654e-05    -6.976541301418788e-07    -2.4857507606525016e-05    6.593957192902557e-06      
Lambda        AB|SDSS|SDSS_r            5117.550074633321    All      -4.410467999517594e-05     5.0887191680199164e-06    -0.0009890134549486649     -2.8111219597645355e-05    
Lambda        AB|SDSS|SDSS_i            6205.923922150819    All      -0.0002450737689641247     -2.530186850920822e-05    -0.00022180480969642024    6.16888083148231e-05       
Lambda        AB|SDSS|SDSS_g            3916.38932914147     All      -0.0008815743054761306     0.0004134948924836033     -0.0011486599268918669     0.00037058722735359875     
MWEBV         All|All|All               All                  All      -0.5788956892976453        -3.1964249226136943       0.0896239726849169         -0.8486158791720572        
Redshift      All|All|All               All                  All      4.9235762015034945         0.3966143182820403        -3.131229223202253         -1.6143127970033107        
