#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6114.124268611191    All      1.2937089298508297         -0.8259262904186215       -0.007067065870725031      -0.6907502958611533       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5305.952096974136    All      0.1913431641003398         1.7213820658783519        -0.5978479056423236        0.471704800881112         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4290.432230867719    All      -0.9677863642760134        0.2854991112958061        0.05649199400226124        0.4107572894951561        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7448.977293016212    All      0.5087405329294792         -0.26792297568132284      0.5638787701057524         -0.22782153651671466      
Check         All|All|All                                All                  All      1.0260062626046356         0.9130319110742136        0.01545579259496499        -0.03610974200159989      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6114.124268611191    All      3.560763165384751e-05      0.00013134061341573246    -6.526567097204791e-05     2.8270874540297844e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5305.952096974136    All      -4.2774749619379246e-05    0.0006607320421422489     -0.001134771199283781      0.00017851567995431602    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4290.432230867719    All      -0.0008305940613039734     0.00013982369143320176    -0.0006916189463983238     0.00028523321077544134    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7448.977293016212    All      -0.00012568969076528832    0.0001336064724149723     -0.00035409451777966084    6.865967890698603e-05     
MWEBV         All|All|All                                All                  All      -0.8231704143689913        -3.994279725974703        0.09935994117884484        -1.0285006513564203       
Redshift      All|All|All                                All                  All      7.768126931646418          -6.108553811447237        7.143801463130206          -4.201296398255641        
