#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6114.124268611191    All      1.3118543328480714        -0.17285656097687507      -0.2919630112134031       -0.49664815190918005      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5305.952096974136    All      0.30043074776747597       0.7566224690160439        -0.362903026675402        0.1324019565452892        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4290.432230867719    All      -1.0831034506673622       0.609126968146434         0.11369702129801647       0.5562888960037865        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7448.977293016212    All      0.4672886251339072        -0.19509468164589094      0.5326159955351268        -0.1919918291177478       
Check         All|All|All                                All                  All      0.9964702550820922        0.9977981945397119        -0.008553021055661802     5.0871522147860615e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6114.124268611191    All      -0.0003194935333456075    0.00012983100731494724    -0.0007832632767446272    0.00011140634258844978    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5305.952096974136    All      3.217726814640079e-05     0.00019575272449698301    -0.0009657931722213907    1.0182994057410978e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4290.432230867719    All      -0.0005995119327906728    0.00018062764785787682    -0.0008777649041192116    0.00021494651100463115    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7448.977293016212    All      -0.00019262139330499      0.0001208081906068729     -0.0005701100422968022    7.665293424013062e-05     
MWEBV         All|All|All                                All                  All      -0.8553939634407497       -3.9908742354632487       0.07849612116479619       -1.0178261574667498       
Redshift      All|All|All                                All                  All      7.966290776626315         -2.053722185894813        8.11784733259393          -2.9015856279986187       
