#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6798.931385160753     All      0.16832557085554273        0.029332659263126004       0.4675283588494894         -0.024410920661249724     
Zeropoint     AB|SDSS|SDSS_i            5718.593843093836     All      1.041898719875472          0.1384669619252321         -1.454837636302675         -0.35920016746700534      
Zeropoint     AB|SDSS|SDSS_g            3608.8486075131955    All      -1.1426668727411955        0.29166979423287387        -0.945859552082684         0.4250012730745087        
Zeropoint     AB|SDSS|SDSS_r            4715.686288719428     All      0.9308560709483548         0.5397980701115301         1.948227891700105          -0.04043999337912385      
Check         All|All|All               All                   All      0.998413488938174          0.9992674855327621         0.01505906216423547        0.0009501915671297767     
Lambda        AB|SDSS|SDSS_z            6798.931385160753     All      -8.979310962492048e-05     -1.72679510210733e-05      -0.00029555267060963513    1.0434671899129369e-05    
Lambda        AB|SDSS|SDSS_i            5718.593843093836     All      -0.00014058557264204049    -2.6519528194368643e-06    0.0009037197244367854      8.525837852457436e-05     
Lambda        AB|SDSS|SDSS_g            3608.8486075131955    All      -0.0015917804666724176     0.0003239184997478972      -0.0030056854783927145     0.0004898762397004928     
Lambda        AB|SDSS|SDSS_r            4715.686288719428     All      -0.0002067753367139395     -0.00011778369344502192    -0.0006961646898390289     -2.079126787957453e-06    
MWEBV         All|All|All               All                   All      -0.6119675532683364        -2.811275304120997         0.08781294525299632        -0.7124682010921826       
Redshift      All|All|All               All                   All      5.7143282986058885         0.06040726242666494        -1.3999777167658323        -1.904142665594835        
