#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3987.7562030680674    All      1.5201504358868334       0.8258744568539811        -0.7257930556657519        -0.25853733799969386       
Zeropoint     AB|MEGACAMPSF|z           4593.573601484806     All      0.9420819609711605       0.2872336235377304        0.573109324467099          -0.18773041041740637       
Zeropoint     AB|MEGACAMPSF|r           3261.088121676549     All      -1.4630979007180536      -0.11412681900608845      0.14996219705805586        0.4460963852472048         
Check         All|All|All               All                   All      0.9991344961399403       0.998981261385623         -0.002721534140597115      -0.00017136316989546652    
Lambda        AB|MEGACAMPSF|i           3987.7562030680674    All      0.001286595002642619     0.0006906649243062189     -0.00047164683347834346    -0.00021516146401398472    
Lambda        AB|MEGACAMPSF|z           4593.573601484806     All      3.887366816541307e-05    9.925861389765447e-06     -0.00010450862007366143    -1.4092992744540468e-05    
Lambda        AB|MEGACAMPSF|r           3261.088121676549     All      -0.003413078469123437    -0.0002852307787775703    -0.00021266538888311973    0.0010093526163090813      
MWEBV         All|All|All               All                   All      -0.5613400709741883      -1.655712585660396        0.09596894659985332        -0.3521904785022892        
Redshift      All|All|All               All                   All      4.362362909684976        0.26313260631702917       0.8821751727096527         -1.295886744204145         
