#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3987.7562030680674    All      1.4915136816172332       0.8332066387094272         -0.7554086250052161       -0.24814267900114678       
Zeropoint     AB|MEGACAMPSF|z           4593.573601484806     All      0.7931265078096693       0.24182516822115474        0.3050221452785329        -0.16596524615158162       
Zeropoint     AB|MEGACAMPSF|r           3261.088121676549     All      -1.2856664524330568      -0.07638207173883416       0.443857467508435         0.4137110272778105         
Check         All|All|All               All                   All      0.9989737369938458       0.9986497351917478         -0.006529012218248198     -0.00039689787491792305    
Lambda        AB|MEGACAMPSF|i           3987.7562030680674    All      0.0008804939412429349    0.0005374312232037684      -0.0006933935142888459    -0.0001426897815950288     
Lambda        AB|MEGACAMPSF|z           4593.573601484806     All      7.152535464506449e-05    1.4415203857191327e-05     -4.384417687406753e-05    -2.0559219224632057e-05    
Lambda        AB|MEGACAMPSF|r           3261.088121676549     All      -0.00258484596448369     -0.00011900164042831168    0.0012432838926027968     0.0008586886701439615      
MWEBV         All|All|All               All                   All      -0.5691092776716187      -1.6556095034445661        0.098691487025937         -0.3495047205375877        
Redshift      All|All|All               All                   All      4.560454462506442        0.5004173624641339         1.082261255695649         -1.2741913055413694        
