#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6092.550660013402    All      1.1391592543388591         -0.027530053267810217     -0.31166486067177823       -0.39393726173247656       
Zeropoint     AB|PS|PS_z                8480.729332080313    All      0.403162572214273          -0.12341357012228826      -0.05731895968896074       -0.17408105531398987       
Zeropoint     AB|PS|PS_i                7379.398353799604    All      0.5461145764066703         -0.08775119422264055      0.39587367667584744        -0.18880491105039732       
Zeropoint     AB|PS|PS_g                4797.54042948331     All      -1.089254992727971         1.2376133686238688        -0.025838825524302063      0.7567845088778535         
Check         All|All|All               All                  All      0.9991814102318317         0.9989185510111298        0.0010510307908064218      -3.871921901021924e-05     
Lambda        AB|PS|PS_r                6092.550660013402    All      -0.00017870785712657431    -4.285447900846291e-05    -0.0005338096782149954     2.0430440456891547e-05     
Lambda        AB|PS|PS_z                8480.729332080313    All      0.0004990869027099142      -0.0001675662593298036    -0.00017395330119696027    -0.00022491360400772034    
Lambda        AB|PS|PS_i                7379.398353799604    All      -3.7461963296272325e-05    -2.35192510002315e-05     -0.0002798214446574904     -7.945545805223245e-06     
Lambda        AB|PS|PS_g                4797.54042948331     All      -0.0002958449420356995     3.333199897724645e-05     -0.0010601857515052742     5.991253845495876e-05      
MWEBV         All|All|All               All                  All      -0.6792551538574845        -4.077045052535588        0.02977008734162897        -1.105443451697818         
Redshift      All|All|All               All                  All      4.173442078229678          1.5394809774132767        5.04331085798201           -0.6329079847794354        
