#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F625W                    3871.0853178120465    All      -0.8507715075806495        -0.07196911510281012       -1.4453983655368319       0.1891800704883692        
Zeropoint     VEGAHST|ACSWF|F850LP                   5533.392276013706     All      2.0024114623288147         0.024485007413410642       -0.4230914490931825       -0.6631563463977752       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4058.986963080768     All      -0.4643198110187613        0.6317960055088889         1.7861291840140403        0.4367477246702195        
Zeropoint     VEGAHST|ACSWF|F775W                    4711.005477342658     All      -0.3043286536894567        -0.12410406286811337       -2.290454433329847        -0.04350738323936343      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4860.640901628281     All      0.6171349506385412         0.5345824790200737         2.384223785910855         0.0795069013196481        
Check         All|All|All                            All                   All      1.000126440678488          0.9947903139714498         0.011408721965033841      -0.0012290331589018266    
Lambda        VEGAHST|ACSWF|F625W                    3871.0853178120465    All      -0.0015075668413171103     -0.0001406472661430972     -0.0026493799026446833    0.0003270210190591828     
Lambda        VEGAHST|ACSWF|F850LP                   5533.392276013706     All      -0.00019427690833175024    -9.776842646837441e-05     -0.0014737857032349328    -3.43322995048241e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4058.986963080768     All      -0.0001778922379727399     0.0001412215195813397      0.00035708766598881864    0.00011988103185490156    
Lambda        VEGAHST|ACSWF|F775W                    4711.005477342658     All      -0.0002516260957581674     -9.856999153601743e-05     -0.0012822149649124863    -7.363956342299889e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4860.640901628281     All      -0.0001670846224632359     -0.00016673304777220881    -0.0008346109756799532    -3.713033517170246e-05    
MWEBV         All|All|All                            All                   All      -0.1006909461263954        -2.0672536709801292        0.031719679004638124      -0.6391586738860255       
Redshift      All|All|All                            All                   All      2.737501985192929          0.842958692108553          6.463437368445701         -0.3286815549209496       
