#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F625W                    3871.0853178120465    All      -0.9636164751557987        -0.037529994243712395     -1.06506103467096         0.2541280518443534         
Zeropoint     VEGAHST|ACSWF|F850LP                   5533.392276013706     All      2.1449135512650077         0.014637871130851465      -0.12074940088792611      -0.6992893641875577        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4058.986963080768     All      -0.44118499841901915       0.586783888623188         1.0837311670314222        0.38320523026889647        
Zeropoint     VEGAHST|ACSWF|F775W                    4711.005477342658     All      -0.09201054256868235       -0.07170100899251963      -1.1993531827408546       -0.046906140866232696      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4860.640901628281     All      0.34585798984659566        0.505206310395856         1.290602921653991         0.10949867127552346        
Check         All|All|All                            All                   All      0.993959524968103          0.9973970669136634        -0.010829529614327482     0.0006364483349829003      
Lambda        VEGAHST|ACSWF|F625W                    3871.0853178120465    All      -0.0018401644648576513     -7.409820194189855e-05    -0.002033434746836502     0.00048452303016259025     
Lambda        VEGAHST|ACSWF|F850LP                   5533.392276013706     All      4.58683564356436e-05       -7.371915055430378e-05    -0.0016115357017611462    -0.00011086902219258127    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4058.986963080768     All      -0.00021843638481667778    0.00025230543204214276    0.0004763974656378888     0.0001745955275736845      
Lambda        VEGAHST|ACSWF|F775W                    4711.005477342658     All      -0.00015574347339499626    -7.291501191281218e-05    -0.0014900998128951736    -3.951635598842173e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4860.640901628281     All      -6.462285886377904e-05     -9.840715807969435e-05    -0.0003063647354527763    -2.467630878597579e-05     
MWEBV         All|All|All                            All                   All      -0.09867946484227175       -2.069537886155537        0.021556251163456885      -0.6410114706527269        
Redshift      All|All|All                            All                   All      1.6835298306094186         0.2675314860599798        3.7601579485900216        -0.29343866631680976       
