#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4965.163096812541     All      0.9141959265089279         0.4936545897530564         0.840731723787469          -0.09946615328892128      
Zeropoint     AB|SDSS|SDSS_z            7158.6193704432935    All      0.0901590218488336         0.0022818101172106253      0.019501611374428407       -0.0277542315874027       
Zeropoint     AB|SDSS|SDSS_g            3799.7697113294876    All      -1.161070008224391         0.46821129599958766        -0.2959654642817444        0.5175029431978436        
Zeropoint     AB|SDSS|SDSS_i            6021.128077011969     All      1.1542349126187086         0.034628382317514195       -0.5629555427877797        -0.3898148011931987       
Check         All|All|All               All                   All      0.9975198527520788         0.9987760781873689         0.0013123280923732494      0.00046775712832092253    
Lambda        AB|SDSS|SDSS_r            4965.163096812541     All      1.051592118788257e-05      -7.011300679863636e-05     -0.0008076659454808216     -6.230591612944349e-05    
Lambda        AB|SDSS|SDSS_z            7158.6193704432935    All      -2.3502732241035943e-05    -1.5426950394743443e-06    -1.6648471468561173e-05    6.410161762335088e-06     
Lambda        AB|SDSS|SDSS_g            3799.7697113294876    All      -0.0017076364027739262     0.0005412905479929626      -0.0012494489611060882     0.0006767923267411578     
Lambda        AB|SDSS|SDSS_i            6021.128077011969     All      -0.0001440597261477279     -1.4233349231545584e-05    -7.224217753563439e-05     3.9064885535439875e-05    
MWEBV         All|All|All               All                   All      -0.560552054768146         -3.053873340159008         0.04502298887669731        -0.8101476012751643       
Redshift      All|All|All               All                   All      4.032106268469143          0.21365519330025506        0.10429419498687587        -1.239140967575142        
