#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4965.163096812541     All      0.900172813815241          0.5228017423904774        1.1696035996025758         -0.07072813624729993       
Zeropoint     AB|SDSS|SDSS_z            7158.6193704432935    All      0.07626182996734905        0.002709647338328125      0.03040117186491386        -0.022601701004406425      
Zeropoint     AB|SDSS|SDSS_g            3799.7697113294876    All      -1.155197215985511         0.4472591356270428        -0.6211658085427809        0.4942529758443625         
Zeropoint     AB|SDSS|SDSS_i            6021.128077011969     All      1.1769158656647019         0.026128695206750763      -0.5747366675961997        -0.4004970989962966        
Check         All|All|All               All                   All      0.9981532934617809         0.998899220562599         0.00410229532850892        0.000426039596359562       
Lambda        AB|SDSS|SDSS_r            4965.163096812541     All      -3.7292733020093647e-06    -4.155003884468506e-05    -0.0007982739249100554     -4.7942766532688366e-05    
Lambda        AB|SDSS|SDSS_z            7158.6193704432935    All      -3.051799880650423e-05     -8.791328039519502e-07    -1.1626616442037466e-05    9.135511254069431e-06      
Lambda        AB|SDSS|SDSS_g            3799.7697113294876    All      -0.0018610306297409168     0.0005208124618792746     -0.0022299532775430907     0.0006763320822790841      
Lambda        AB|SDSS|SDSS_i            6021.128077011969     All      -0.00018125497690076777    -9.818403995957591e-06    -5.25195866333609e-06      5.5608161097046625e-05     
MWEBV         All|All|All               All                   All      -0.5398349752346046        -3.0560525247848247       0.1087387257055668         -0.814762327077706         
Redshift      All|All|All               All                   All      4.761490182374885          0.3126954429815143        3.4308821764029216         -1.2960142935590133        
