#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4959.91300827587      All      0.889015310552373          0.4875198392673141         1.0327276164915558        -0.0846943934285719        
Zeropoint     AB|SDSS|SDSS_i            6014.761427039234     All      1.1858548597696226         0.04923591123962012        -0.4736630492507417       -0.391371591621288         
Zeropoint     AB|SDSS|SDSS_z            7151.049954341075     All      0.07402862846578867        0.0036870905720576275      0.03061336397284524       -0.021546419227834283      
Zeropoint     AB|SDSS|SDSS_g            3795.7518921734063    All      -1.150541210969689         0.45864130465531616        -0.5855882953734309       0.49803156975858154        
Check         All|All|All               All                   All      0.9983575878180951         0.999084145734308          0.004089635840228367      0.0004191654808873846      
Lambda        AB|SDSS|SDSS_r            4959.91300827587      All      3.309647392642688e-05      -8.950774105772412e-06     -0.0006036350320301103    -4.0633631081538896e-05    
Lambda        AB|SDSS|SDSS_i            6014.761427039234     All      -0.0001534357990593673     -1.4044045550454945e-05    -4.413581374064816e-05    4.343490131154513e-05      
Lambda        AB|SDSS|SDSS_z            7151.049954341075     All      -2.6444687652862098e-05    -1.0533513277909296e-06    -8.454267498487258e-06    7.893518461817073e-06      
Lambda        AB|SDSS|SDSS_g            3795.7518921734063    All      -0.0018737005849002782     0.0005318956383123475      -0.0024282008343366277    0.000675222380751957       
MWEBV         All|All|All               All                   All      -0.5401642970321001        -3.0501493586889694        0.12310529254048934       -0.8120910868334926        
Redshift      All|All|All               All                   All      4.373915692749002          0.1939597323113773         2.4108973505410374        -1.2539618968773627        
