#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4959.91300827587      All      1.0378927760783356         0.4624148065069278         0.9830469972260558        -0.14358323483760205      
Zeropoint     AB|SDSS|SDSS_i            6014.761427039234     All      1.1965006951153174         0.05647810361431027        -0.5615554998077643       -0.3964025065064075       
Zeropoint     AB|SDSS|SDSS_z            7151.049954341075     All      0.03364554403718897        0.0024542670416849433      0.011579133268335706      -0.009643301543238447     
Zeropoint     AB|SDSS|SDSS_g            3795.7518921734063    All      -1.270038925367828         0.475156712354341          -0.4552862551055914       0.5481502999259619        
Check         All|All|All               All                   All      0.9980000898630144         0.996503889517264          -0.022215624418964186     -0.0014787429612861391    
Lambda        AB|SDSS|SDSS_r            4959.91300827587      All      6.328460582679882e-05      -6.429157114487414e-05     -0.000491838272170466     -6.350424112671883e-05    
Lambda        AB|SDSS|SDSS_i            6014.761427039234     All      -0.00027745782277335926    -3.9276412468256295e-05    -0.0003107056238625598    6.371815629834928e-05     
Lambda        AB|SDSS|SDSS_z            7151.049954341075     All      -2.8757739056902214e-05    1.0919512321452542e-07     1.737595168195094e-05     1.0178319075095772e-05    
Lambda        AB|SDSS|SDSS_g            3795.7518921734063    All      -0.0017273031867442005     0.0003661058734118355      -0.0024037352094570807    0.0005746245395636534     
MWEBV         All|All|All               All                   All      -0.556724922835047         -3.040227198487777         0.12078531773390688       -0.8035683019945228       
Redshift      All|All|All               All                   All      4.1634352218358375         0.5765423304762152         -0.2880924785076622       -1.1812252641417498       
