#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4667.690472040256    All      -0.04413302253695266       0.06499662265380124       0.03272369887333815        0.037007424083518314       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.9833657671722258        0.697630426900897         0.06503907221565575        0.5504581586210644         
Zeropoint     AB|CNIa02|SDSS_r                      6099.276071919864    All      1.3423806219295904         -0.29560527186687224      -0.3456475398852632        -0.548970555948125         
Zeropoint     AB|CNIa02|SDSS_i                      7396.438282089829    All      0.6643832733163467         -0.22164610191666156      0.22825627702593998        -0.2784228877135031        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      0.006658948264192666       0.7510016956532084        0.023108413268446704       0.24348814332468827        
Check         All|All|All                           All                  All      0.9859240538009515         0.9963773714243729        0.0034799214981173776      0.003560282367642831       
Lambda        AB|CNIa02|SDSS_g                      4667.690472040256    All      -2.8739137745572507e-05    3.97135894238813e-05      1.0466582707964147e-05     2.2764380781903876e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.0011000007229809955     0.0007324462282021031     -0.00023151320255128386    0.0005865568867861801      
Lambda        AB|CNIa02|SDSS_r                      6099.276071919864    All      0.0005277237399557925      0.00010500699544173747    -0.0006271870854493577     -0.00016568122971355605    
Lambda        AB|CNIa02|SDSS_i                      7396.438282089829    All      0.00010467727295302969     -7.156887906762066e-05    -0.00029468802111986766    -7.055974296875317e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      -3.268322137107456e-05     0.0005546974025224991     -0.0013092771218266438     0.00013290216879587084     
MWEBV         All|All|All                           All                  All      -0.8564584441831515        -4.073591390097331        0.04179061183494648        -1.0460611179455348        
Redshift      All|All|All                           All                  All      5.8097897672945376         -5.020575858724108        9.085960344333444          -3.1223417129788156        
