#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4667.690472040256    All      -0.12457746178356999      0.21342484519237814       0.05766963109462003       0.11267200209638797        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -1.0088754756199307       0.6343880018009784        -0.11560188193344717      0.5301061953081521         
Zeropoint     AB|CNIa02|SDSS_r                      6099.276071919864    All      1.23447710907572          -0.20010569308102077      -0.04065556112651329      -0.4691050860036069        
Zeropoint     AB|CNIa02|SDSS_i                      7396.438282089829    All      0.46931968634141835       -0.13315180814235106      0.16375028648278367       -0.1889373632689342        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      0.4277396612842505        0.48352018723321066       -0.06510040115053956      0.015264420518350566       
Check         All|All|All                           All                  All      0.9980835192978884        0.9980755330031954        6.207336690368381e-05     1.6865034947223523e-07     
Lambda        AB|CNIa02|SDSS_g                      4667.690472040256    All      -3.349657865719454e-05    4.985480149335769e-05     1.792218081420199e-05     2.7950071310129614e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.0007176462182433905    0.0003817778297630503     -0.000373851923039146     0.0003414352881270612      
Lambda        AB|CNIa02|SDSS_r                      6099.276071919864    All      0.0001038678748291854     0.00017343888753417928    -0.000983440344872955     -2.1224858157199014e-05    
Lambda        AB|CNIa02|SDSS_i                      7396.438282089829    All      2.5841771249674523e-05    2.568166979783225e-06     -0.0003454322939560163    -2.2996035355656528e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      7.460253900674901e-05     0.000260793817913104      -0.0011917346377167586    7.466981608846591e-06      
MWEBV         All|All|All                           All                  All      -0.8808918558803978       -4.051061255354682        0.01612547107136671       -1.0319088631718265        
Redshift      All|All|All                           All                  All      5.978912215953991         -2.525610144697854        9.686782462811163         -2.337926111806748         
