#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4249.856536397798    All      -1.386135002561038         0.5298509390943451        0.2304925140685199        0.634385477551391          
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7721.459995212664    All      0.7359780764297823         -0.2952596633249094       0.4440688237045187        -0.3160913064844211        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5316.794116056364    All      1.6540668543653794         0.7568304340006549        -0.677359722903148        -0.3224868737467283        
Check         All|All|All                                All                  All      1.003909928234124          0.9914217097700906        -0.0027983851301094376    -0.004192702679758409      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4249.856536397798    All      -0.0008987464065368716     0.00033666740971342705    -0.001289537832659363     0.00034486877302148734     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7721.459995212664    All      -0.00010514015119269752    3.2926814865533586e-05    -8.581096274567397e-05    4.114360396158755e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5316.794116056364    All      0.0004276242500212592      0.00019090882982866395    -0.0028948072305589657    -0.00020628795139386762    
MWEBV         All|All|All                                All                  All      -0.729663683839533         -4.013954945998144        0.1255996674426607        -1.064196777758621         
Redshift      All|All|All                                All                  All      3.411277708934404          -1.5648545910899259       9.210350557686109         -1.2098743562284473        
