#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4268.497617989008    All      -0.48425724828384964       0.2337486205297168         0.14488294039209926        0.24034359337045083        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7941.78712867765     All      0.1835465929857935         -0.04526454021904769       0.1303772615125487         -0.06871317536730359       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6054.014893552337    All      0.1399391053361784         -0.019805269378103674      -0.10728804745545606       -0.05682177108002591       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6148.28849982192     All      0.5938718477996637         0.04164829854680363        0.03385692527415607        -0.1783664985310426        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5242.026631286898    All      -0.020963977305946006      0.0029779236236926465      -0.24735048667301474       -0.0032394513825942557     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7370.704737977666    All      0.13938550855146242        -0.01295025397549665       0.1475996442636518         -0.04303407532991491       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4300.524260718516    All      -0.42925188192239866       0.3694409524992004         0.26709874188459715        0.27207992249504526        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4234.351149240262    All      -0.028633926014208094      0.006660867701402395       -0.09330732081807014       0.007332798294311035       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5201.086427061864    All      0.12153188221127459        0.352337004140324          -0.1224752161521181        0.06971531508671311        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7617.869156007253    All      0.18425552785356134        -0.03587348186862016       0.2026203896228651         -0.0626612431087456        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6149.479507040163    All      0.5348002833662959         -0.11637520113154665       -0.08499875377012689       -0.2159023823336645        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5198.063517377773    All      0.05558257816420106        0.22011141543814006        -0.29933348414568073       0.04023457652963542        
Check         All|All|All                                All                  All      0.9898062927420285         0.9966563359064651         -0.028317406064548578      0.0009676086428643052      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4268.497617989008    All      -0.00029077659251656383    0.00011113076578361145     -0.00025895050916068755    0.00011935867705054107     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7941.78712867765     All      -9.8023955474326e-06       2.9160057075654633e-06     -2.61323127555285e-05      2.9766366148178044e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6054.014893552337    All      9.569107778140619e-06      -9.93018512755804e-06      -1.4841096073286392e-05    -7.0138511621299335e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6148.28849982192     All      -0.0001345697461200257     -5.386670539874948e-06     -0.00010417810398103956    3.7430187405455486e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5242.026631286898    All      -4.4428943876100064e-05    -1.6413853303189107e-06    -0.0003134509488927852     -5.0560733723262974e-08    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7370.704737977666    All      -1.64286749231679e-05      -3.053728555869436e-08     -1.7259590031724005e-05    4.571196678587302e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4300.524260718516    All      -0.00010954538289567012    8.22341464416718e-05       0.00012162015541964526     6.789625101948969e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4234.351149240262    All      -3.3346479439242236e-05    7.906195358325498e-06      -0.00010932580492160093    8.55864479586593e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5201.086427061864    All      -1.1118787867883873e-05    6.901266773046293e-05      -0.0003509608157984146     1.0439682030607168e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7617.869156007253    All      -6.656490585145462e-05     1.2575228355478374e-05     -8.162382818418452e-05     2.2136048777100885e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6149.479507040163    All      -0.00015012967869612508    3.2531551928714e-05        -0.00018169347001225245    5.1390627111778665e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5198.063517377773    All      -0.00021385102848961291    8.093521849245591e-05      -0.001531560441074714      2.767507053903355e-05      
MWEBV         All|All|All                                All                  All      -0.7666115413649943        -3.948049934994735         0.08197704825543273        -1.0326408918627838        
Redshift      All|All|All                                All                  All      6.96499619832258           -0.38922924784969837       9.48452665227275           -1.9722623110133262        
