#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3811.592911306072    All      -1.00800515766493          0.49904264257616404        0.15705516927431162        0.4979036998148778         
Zeropoint     AB|SDSS|SDSS_i            6039.86316012158     All      1.2214615006509306         0.13558348755751126        0.6416770001651306         -0.32507109578853305       
Zeropoint     AB|SDSS|SDSS_r            4980.612484714902    All      0.7091294260050793         0.3548177183009926         -0.9426476204252188        -0.15747701358382465       
Zeropoint     AB|SDSS|SDSS_z            7180.893822529335    All      0.07619041093076381        0.009402382867129688       0.1504813411040251         -0.015039766883512273      
Check         All|All|All               All                  All      0.9987761799218436         0.9988462313017976         0.006565890118248596       0.0003158235590078329      
Lambda        AB|SDSS|SDSS_g            3811.592911306072    All      -0.001165669194456229      0.00041552129503278273     -0.0013549724244964019     0.00045457956590651624     
Lambda        AB|SDSS|SDSS_i            6039.86316012158     All      -0.00026969497087059205    -4.0820621550108506e-05    -0.00045344227473727847    5.431685917963399e-05      
Lambda        AB|SDSS|SDSS_r            4980.612484714902    All      -0.00028773746760171943    -9.400513578324284e-05     -0.0017938916875503627     -1.6948152891180152e-05    
Lambda        AB|SDSS|SDSS_z            7180.893822529335    All      -3.347542866023131e-05     -3.247086994068514e-06     -3.476498108303779e-05     8.29496392761779e-06       
MWEBV         All|All|All               All                  All      -0.5608865043089759        -3.060933555264711         0.141460634329027          -0.8080348351963057        
Redshift      All|All|All               All                  All      5.003802332855308          1.2131258519286092         9.556911759683494          -0.8082669608632117        
