#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3811.592911306072    All      -1.0257499962791703        0.5416578835991004         0.27013503598502836        0.5226111986345993         
Zeropoint     AB|SDSS|SDSS_i            6039.86316012158     All      1.2340274588275437         0.14106204349673135        0.5313295634369364         -0.3323039951595936        
Zeropoint     AB|SDSS|SDSS_r            4980.612484714902    All      0.673129297679909          0.30342583472595663        -0.9676004210799461        -0.1636041435315652        
Zeropoint     AB|SDSS|SDSS_z            7180.893822529335    All      0.11729338873035441        0.012889386511716339       0.1721071429003875         -0.02632746698413192       
Check         All|All|All               All                  All      0.998700148958637          0.9990351483335047         0.005971321242406041       0.00037559295930857453     
Lambda        AB|SDSS|SDSS_g            3811.592911306072    All      -0.0013254140445000124     0.0006154963593099819      -0.0005685731539232288     0.0006068455640789942      
Lambda        AB|SDSS|SDSS_i            6039.86316012158     All      -9.898726363900186e-05     -1.8196322225255514e-05    -0.00024548445823306344    1.5361423659875134e-05     
Lambda        AB|SDSS|SDSS_r            4980.612484714902    All      -0.0002174789004895697     -6.85643585703009e-05      -0.001805616053998103      -3.2069986149339205e-05    
Lambda        AB|SDSS|SDSS_z            7180.893822529335    All      -3.1354261747903434e-05    -3.492952123131373e-06     -4.6721251011578305e-05    6.990390304946525e-06      
MWEBV         All|All|All               All                  All      -0.5604538268840864        -3.0695816190970504        0.07690262913659332        -0.813873658638844         
Redshift      All|All|All               All                  All      4.594742656951874          0.5569508597631057         7.124009645289311          -0.9973297966723563        
