#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5377.917059290654    All      0.6803854817167663         0.17487475115585127        0.20941800683175324        -0.15531611192995598      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4620.550886077053    All      -0.7336729067969623        0.5777074264512017         -0.3120959801996541        0.4132323074790917        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6090.900705449936    All      1.1636013640522629         -0.07727974964835127       -0.05152104768652795       -0.4064949502389799       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4291.400783791529    All      -0.5875306664933071        0.3860726969442396         0.07065127992059253        0.32028748820412634       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7391.164577801391    All      0.4758849369356179         -0.06388343244951855       0.08492765898755811        -0.1720303843986453       
Check         All|All|All                      All                  All      0.9986682094143776         0.9974916924534227         0.001379917853721796       -0.0003216508843631727    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5377.917059290654    All      0.00014318390110132945     1.0355363152619158e-05     -0.0003680723393736029     -5.969200275012831e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4620.550886077053    All      -0.00021800202386004417    -4.5824415209270795e-05    -0.0009572507996753192     1.3366204917021042e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6090.900705449936    All      -0.00013470032560494884    -1.2846531408626473e-05    -0.00020285814817304918    3.0639162181307706e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4291.400783791529    All      -0.00018301473459007237    7.660674536900184e-05      -0.0001704981822932679     7.695870650973828e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7391.164577801391    All      -3.214731530386926e-05     -2.6709877650996936e-05    -0.00025504760040251465    -9.610450684779214e-06    
MWEBV         All|All|All                      All                  All      -0.8478356287590598        -4.006388293850538         0.012606374362061893       -1.028281951727647        
Redshift      All|All|All                      All                  All      4.931580685992503          -0.09293399234850952       0.886518626903494          -1.5970884776727146       
