#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5377.917059290654    All      0.6090618587808774        0.17337219985682495        0.27203329358752026        -0.12977885918650234       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4620.550886077053    All      -0.8156961964375078       0.575177248899994          -0.6333892695121052        0.4247879854769848         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6090.900705449936    All      1.1719446229036963        -0.07763430359988277       -0.030562349296248126      -0.4083928235691092        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4291.400783791529    All      -0.5427708786597306       0.3937920794949257         0.18266496253260267        0.3132208658050889         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7391.164577801391    All      0.5743099500928327        -0.06703687974995987       0.20853152114016504        -0.19960195812592507       
Check         All|All|All                      All                  All      0.9968493566801682        0.997670344901902          -0.0007218415480653162     0.0002352104005370892      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5377.917059290654    All      0.00020465518083261598    1.8004130375935402e-05     -0.00030737188615149585    -7.451498334183568e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4620.550886077053    All      -0.0003352969269374777    1.615695494066282e-05      -0.0010509245605094144     6.758215540337157e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6090.900705449936    All      -7.174950804415997e-05    -1.8008546104210732e-05    -0.00021106460593107778    8.086355350941884e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4291.400783791529    All      -0.0002022473943234545    0.00010373339277636207     -0.00011761305030739489    9.441947856928452e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7391.164577801391    All      -3.921774501008379e-05    -3.588712913298816e-05     -0.0003432498942485184     -1.4232775125391332e-05    
MWEBV         All|All|All                      All                  All      -0.8396415852265462       -4.0084678491321135        0.01505623460474892        -1.0315190748419272        
Redshift      All|All|All                      All                  All      4.904028114215325         -0.5322591287653999        0.37341005081136525        -1.7541140280194032        
