#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_B
@MAGSYS  Linear_AB11_off
53436.13  13.859  0.004
53438.1  13.887  0.005
53444.15  14.354  0.009
53445.14  14.473  0.008
53446.14  14.612  0.006
53452.07  15.454  0.011
53453.06  15.599  0.008
53454.08  15.714  0.011
53455.15  15.88  0.011
53456.06  15.97  0.01
53457.07  16.066  0.01
53458.04  16.181  0.01
53459.17  16.307  0.01
53460.0  16.393  0.011
53461.0  16.453  0.011
53464.03  16.686  0.011
53465.03  16.746  0.012
53466.02  16.786  0.012
53467.13  16.825  0.012
53468.03  16.863  0.011
53472.0  16.967  0.013
53472.98  17.012  0.012
53474.0  17.02  0.012
53474.99  17.057  0.014
53475.99  17.049  0.015
53476.98  17.084  0.013
53477.98  17.12  0.017
53478.98  17.049  0.027
53479.98  17.136  0.017
53480.97  17.168  0.014
53482.01  17.136  0.022
53483.01  17.187  0.016
53489.0  17.301  0.015
53489.96  17.291  0.019
53511.96  17.551  0.02
