#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5359.08198459586      All      0.21838866019586642        0.08277062936263846        -0.16224125575055037       -0.05141533644008253       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4384.798729707593     All      -0.2535863176338481        0.188299852858842          0.13227166937470614        0.14983954045505696        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7923.949351888919     All      0.11268534221344043        -0.021942185187340257      0.04785309435657581        -0.041717150968706776      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6408.434724344218     All      0.3718393573044176         -0.03675732569776713       0.0971401060839927         -0.12875846529924356       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5401.5278109306755    All      0.29760126688884386        0.10409201499452791        0.07222339242283216        -0.059809331313481415      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6202.804615306654     All      0.3453760709671288         -0.016766537853252217      -0.021073337774923928      -0.11890216810929825       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7606.847537067678     All      0.0795658956933276         -0.014183857602700911      0.01567792894028308        -0.029837744961306104      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4386.494128319988     All      -0.29442627794845394       0.16753072863839868        -0.1738428218863497        0.14271678826984455        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7583.878430113796     All      0.10246506992921599        -0.01656321456544596       0.031944199174960275       -0.03734590527937863       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4382.322562450322     All      -0.2679447175292245        0.19032191280978772        0.07315325794210459        0.15253701194693178        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3584.7488679759454    All      -0.18554424181363652       0.07730945524895283        -0.05169011372645471       0.08331340439155215        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4791.833916428125     All      -0.17148368113128948       0.2297784069325015         -0.04783253801763365       0.12856971672813525        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6239.467494474501     All      0.3902639572774036         -0.030417856703524038      0.03659913234217438        -0.135396655651482         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5391.209105208128     All      0.2562544477386358         0.09814986773428735        -0.04662375888973003       -0.05358046741766823       
Check         All|All|All                              All                   All      1.0014548321518275         1.001621890969906          0.0035589545919867405      0.0002132363508731902      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5359.08198459586      All      9.06451501851654e-05       -1.5902128216495375e-06    -0.0004015470417452965     -4.796329241886663e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4384.798729707593     All      -0.00013413283603628683    6.151311247669653e-05      -0.00016677575450015753    5.628588604119276e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7923.949351888919     All      7.0333146694211836e-06     -2.497546872365993e-07     1.5579698476697065e-05     -1.6770849072802233e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6408.434724344218     All      -8.91994058644645e-05      3.862450611547836e-06      -7.433911610073693e-05     2.699589497401022e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5401.5278109306755    All      4.330311734903248e-05      -8.458020020081058e-06     -0.00030571216832088563    -3.0502835318916898e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6202.804615306654     All      -1.4060054699685942e-05    -2.0746314897366936e-06    4.795507863914394e-05      6.044061558147221e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7606.847537067678     All      -1.66296225079376e-05      2.4812448852894427e-06     -9.914341563464832e-06     5.782606709782527e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4386.494128319988     All      -0.00023912138330511035    6.304722255075477e-05      -0.0004553044255578407     7.810811060405242e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7583.878430113796     All      -1.7319409421469324e-05    2.2636514225036943e-06     -1.2567099145281642e-05    5.818035264191998e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4382.322562450322     All      -0.000117001341208651      4.032627013816843e-05      -0.00020154919357560496    4.225256411301679e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3584.7488679759454    All      -0.00010097635850735391    3.6003832738902046e-05     0.00016946511503359253     5.218140456216877e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4791.833916428125     All      -8.585288687053994e-05     -3.662085622154872e-05     -0.0004717553284207366     -5.015781545488497e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6239.467494474501     All      -7.766239332361034e-05     1.0033191345388033e-05     1.0056854764627361e-05     2.901412826441444e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5391.209105208128     All      3.816797680364763e-05      2.0427319943284024e-05     -0.0003433441113406246     -2.1100586356361294e-05    
MWEBV         All|All|All                              All                   All      -1.0011344202931758        -4.0433916083388866        -0.0013809520171825795     -0.9910248789811288        
Redshift      All|All|All                              All                   All      4.941240709496971          -0.0323397429805361        6.322062413652918          -1.3379341699697256        
