#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8039.613052391195    All      0.061525663590612546       -0.01555368956864811      -0.010306660896944764      -0.02556722009841762      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5262.092602628994    All      0.02687251516240749        0.03072135180097746       -0.26223984148319135       -0.0104488669852206       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6225.228013438858    All      0.24577342782033332        -0.03479721770744959      -0.10290452667974566       -0.0959832461507844       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4321.076428725574    All      -0.18262110940030063       0.057860997491143706      -0.4164057369795556        0.05975065828183884       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5294.766375328251    All      0.37954248094595117        0.43062765076076204       0.405849591606756          0.03475132373450699       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7767.332143191665    All      0.32734751120976485        -0.06990573019196589      0.03310322442747372        -0.12792120509940288      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6281.771729154061    All      1.0471934372732958         -0.08050781797974693      0.11626186713170512        -0.3621411659465795       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4295.705763571066    All      -0.9082965571176373        0.678952283332368         0.2365423295651741         0.5275749640392294        
Check         All|All|All                       All                  All      0.9973373694844272         0.9973978279374407        -9.975330832842633e-05     1.5241775170204974e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8039.613052391195    All      4.097670321407887e-06      -1.410212598398904e-06    -3.750309708402767e-06     -1.961457768683378e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5262.092602628994    All      1.748258589609519e-05      1.7374526548242697e-05    -0.0002564713809344851     -1.148033828530194e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6225.228013438858    All      -4.6163070747575074e-05    4.962009650190521e-06     1.8536271405976566e-06     1.673583951662133e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4321.076428725574    All      -0.00014833288729468823    4.826373579528574e-05     -0.00033402525349116583    4.913197503637924e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5294.766375328251    All      9.3504691828166e-05        5.7051081314713385e-05    -0.0004798594942420944     -3.328806554547868e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7767.332143191665    All      -4.687343944121158e-05     1.5652957226764276e-05    4.489947758825628e-05      2.2370561921031584e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6281.771729154061    All      -0.00027192354125387877    5.593998264800621e-06     -0.0002773754395826743     7.801860074783486e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4295.705763571066    All      -0.0004187887430539896     0.0001618827928229673     -0.0007366816353943796     0.0001562691048299436     
MWEBV         All|All|All                       All                  All      -0.8201324947726136        -3.9967106805112174       0.01303400721078633        -1.0341343735344386       
Redshift      All|All|All                       All                  All      4.441384532135109          -0.1486328882580601       0.5534970093836932         -1.4704196515008479       
