#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8039.613052391195    All      0.0545866974105383         -0.017545730275703164     -0.04571085018048038       -0.025535770085005627      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5262.092602628994    All      0.017711057789451354       0.01743743068791659       -0.2260364084381461        -0.010176096109954652      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6225.228013438858    All      0.16975852004776393        -0.027846542029408283     -0.1281439907632187        -0.07008494749567856       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4321.076428725574    All      -0.11768203634619077       0.03062081149511897       -0.3098870037649526        0.03447828284218607        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5294.766375328251    All      0.42345555652726513        0.4377873323387682        0.4504453089228644         0.02476963619997899        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7767.332143191665    All      0.3428050211392502         -0.06885454692007187      0.040076323286264426       -0.1323026422700664        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6281.771729154061    All      1.0944136785420215         -0.08129912587486743      0.10877191209461845        -0.3781143493354809        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4295.705763571066    All      -0.9870236779572835        0.7073254724777378        0.11268369217687368        0.5569338163723951         
Check         All|All|All                       All                  All      0.9980248171528163         0.9976251018994908        0.002198983333823179       -3.206988162596236e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8039.613052391195    All      -1.1929044095172634e-07    -3.864114102937879e-07    -5.49855276285507e-06      -3.323852436003929e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5262.092602628994    All      1.7008111443270465e-05     1.1347459702143622e-05    -0.00024652822999838105    -1.2845283143617283e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6225.228013438858    All      -2.5831650118027714e-05    5.362064194270244e-06     3.853587169454262e-05      1.1880497959104333e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4321.076428725574    All      -0.00011877600060706869    3.473509780961976e-05     -0.0003065914734829004     3.632184578160622e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5294.766375328251    All      7.773002114465776e-05      5.619992453288377e-05     -0.0005502004962268819     -3.156598195272209e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7767.332143191665    All      -6.110556938147103e-05     1.530648296339145e-05     1.504701871630786e-05      2.556139866742562e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6281.771729154061    All      -0.00026608555046632703    1.561905369282117e-05     -0.0001712692134200031     8.411749899694065e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4295.705763571066    All      -0.00048349839324851314    0.0001572921876979796     -0.0009910000941965058     0.00016450279089302        
MWEBV         All|All|All                       All                  All      -0.8194819841684278        -3.9953178311062487       0.02142785107905887        -1.0335179906644918        
Redshift      All|All|All                       All                  All      4.7856413577083945         -0.044598832414521894     2.3297501898959183         -1.469402089285725         
