#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5307.227659880924     All      0.0977117180080378         0.06531838329211226        -0.42352522461610587       -0.029451560419652134     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5369.084334885566     All      0.1183504599662491         0.04718929358809021        0.07515791631023117        -0.019825580405100074     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6186.87244667449      All      0.28028742932748063        -0.03968107634779727       0.16587715860645336        -0.09682193320722926      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4344.558387722462     All      -0.27077989867413105       0.12175688721516309        -0.20828852697860611       0.11856718491635998       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4340.426702837262     All      -0.392659058895022         0.3654011219357045         0.30045403345326793        0.2603330239132978        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4746.023048288944     All      -0.2054266622845408        0.1504614488009537         -0.12290617890857725       0.11043972787459916       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7511.375071106625     All      0.10197057324846724        -0.03445502820769164       -0.04938719817346726       -0.04664223049052896      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7848.19484844997      All      0.1728109308692869         -0.024088624079077192      0.11176394694991654        -0.05914915121049691      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6347.1688367413535    All      0.5520906363290915         0.01652447687483516        0.20357975289431174        -0.16536668837385526      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3550.477968657019     All      -0.09238629684797453       0.03742160565991526        -0.026722761863839928      0.04109019027118688       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7537.608060513665     All      0.09860454023958508        -0.022300191525648216      0.03416397380773262        -0.03785806754188076      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5349.8881500800935    All      0.33999954307501157        0.33097498088459076        0.3306430316082132         0.011815483107460723      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6143.5045917080215    All      0.3544644151955594         -0.08592076240514501       -0.360360260997461         -0.159529163960051        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4341.481426825684     All      -0.1571250869254433        0.07006987441133816        -0.023698954016238005      0.07294729792721721       
Check         All|All|All                                All                   All      0.9979132426316575         0.9986723900973438         0.006750708075831113       0.0005485324013274062     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5307.227659880924     All      -9.930015633723735e-06     3.2293261612624925e-05     -0.0008489688837428445     -2.413207160469741e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5369.084334885566     All      2.334978021575045e-05      1.2192297781466023e-05     -0.0001351086369383053     -9.663637034147315e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6186.87244667449      All      -7.723282353981907e-05     1.3806364508834974e-05     -5.971857649409072e-05     2.6989492856339943e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4344.558387722462     All      -0.00021725402324307506    9.691602331062175e-05      -0.0002827800041145884     8.971634722801245e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4340.426702837262     All      -0.000165233421217352      1.0212717195643606e-05     -0.00031474644050908903    4.310289122581447e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4746.023048288944     All      -0.00014901984075178302    8.094455959311336e-05      -0.00029007708986566886    6.196216255156344e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7511.375071106625     All      2.0452623199559215e-06     -4.527148133530084e-06     -2.9254182831836542e-05    -3.446330130764694e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7848.19484844997      All      -8.597658378485396e-06     2.1268204433958895e-06     5.757696576938748e-07      3.519009532568517e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6347.1688367413535    All      -0.00014839410494364434    -1.0215750436001237e-05    -0.00015585276031447896    3.805424310897703e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3550.477968657019     All      -0.00011893508753155401    2.0474441986863766e-05     -0.0001323801559527983     3.950275184133043e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7537.608060513665     All      -2.3793140917673144e-05    5.4227419322898325e-06     -2.482676138183388e-05     8.408669882948448e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5349.8881500800935    All      3.4037668617557885e-05     -2.0271540564655087e-05    -0.0004688684404322882     -3.861374121219429e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6143.5045917080215    All      -6.51401953502179e-05      1.4509434815819765e-05     -1.101226676916726e-05     2.5453078051681355e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4341.481426825684     All      -0.00011155487038685323    4.147083499048434e-05      -0.00012112655845669375    4.4440184647808e-05       
MWEBV         All|All|All                                All                   All      -0.9159429646208803        -4.01760286113273          0.020347398445341724       -1.0094046589331718       
Redshift      All|All|All                                All                   All      6.8280511869712734         -0.9391944023267484        7.793046630735434          -2.1822795442629537       
