#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6347.714281365357    All      1.0371208009374122         -0.00997613512456752      -0.144538032087017         -0.3475239890742349       
Zeropoint     AB|DECam|DECam_z          7438.587551387167    All      0.4519668050071757         -0.03047588973874582      0.41885414122363895        -0.1384559209766394       
Zeropoint     AB|DECam|DECam_g          3931.302691158826    All      -0.7291540492937832        0.5484720378568397        0.09971286798417148        0.4206145765682262        
Zeropoint     AB|DECam|DECam_r          5224.993329684514    All      0.23589966774752474        0.49082027812801243       -0.37373800205568836       0.06635781892470957       
Check         All|All|All               All                  All      0.9958332243983293         0.9988402911215388        0.0002909750651050591      0.0009924854420615137     
Lambda        AB|DECam|DECam_i          6347.714281365357    All      -0.00039647521046389943    -1.489634773840669e-05    -0.0004923410771000649     0.00010232186813119995    
Lambda        AB|DECam|DECam_z          7438.587551387167    All      -9.243348010771644e-05     -5.09205572237741e-06     -0.00028006924858113027    1.5951771117174004e-05    
Lambda        AB|DECam|DECam_g          3931.302691158826    All      -0.0006717707901328735     0.00042559098218316916    -0.00039660045804631165    0.000339748374450716      
Lambda        AB|DECam|DECam_r          5224.993329684514    All      -0.00010140973535701801    4.9844751524616714e-05    -0.0010470533355724692     2.5433810775916724e-06    
MWEBV         All|All|All               All                  All      -0.49175090515105424       -3.1190108601698796       0.07913208237661028        -0.8522537002388371       
Redshift      All|All|All               All                  All      5.6981671339987425         0.4544964837959853        -0.916207852729663         -1.748922190888183        
