#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4202.437862388187    All      -1.073637722415565        0.6727462219172864         -0.10176526530559246       0.5643133885947835         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    7976.697134516339    All      0.48350040007735906       -0.07391780857481933       0.22275848229159662        -0.17162876110040054       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5187.079807028378    All      0.37389716895668634       0.4574696035603232         0.0846716426352722         0.03100079792985967        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6093.312880927814    All      1.2151160431539485        -0.058301023641327276      -0.2033841773271725        -0.42386993455670957       
Check         All|All|All                                   All                  All      0.9988758897724286        0.997996993261463          0.0022806822941038307      -0.00018450913246692568    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4202.437862388187    All      -0.0007216104099818086    0.00027821762574811243     -0.0008951881374334365     0.0002857287494793291      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    7976.697134516339    All      -4.364352670327363e-05    -6.591911426752913e-07     -5.4217920034487905e-05    1.1581915477483224e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5187.079807028378    All      9.819410970929989e-05     5.596238711526984e-05      -0.0012968478695497923     -7.162862564245981e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6093.312880927814    All      -0.0003018873525655429    -1.4905679697727627e-05    -0.00040125185597506756    7.557334482059641e-05      
MWEBV         All|All|All                                   All                  All      -0.7561568755361718       -3.8897736695792773        0.05411835942309984        -1.0183070289257787        
Redshift      All|All|All                                   All                  All      7.10387260189108          0.47344431009896937        9.741757168099609          -1.7250187491082944        
