#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|WFC3|WFC3_f125w        4657.831428116557     All      -2.2199900495695113       1.2654607958980435         -0.7394502747625653        1.1023277387052388        
Zeropoint     AB|WFC3|WFC3_f160w        5717.1464887351585    All      3.2157805121031475        -0.26486493186475          0.7222028056796059         -1.1015321366741992       
Check         All|All|All               All                   All      0.9957904625336367        1.0005958640332935         -0.017247469082959377      0.0007956020310395662     
Lambda        AB|WFC3|WFC3_f125w        4657.831428116557     All      0.00020149754668794212    -0.00042870330719021863    -0.0020005272040441806     -0.0002945514921277569    
Lambda        AB|WFC3|WFC3_f160w        5717.1464887351585    All      -0.0011173771864824965    8.105609872274011e-05      -0.00024758458303816676    0.0003793205854491882     
MWEBV         All|All|All               All                   All      -0.08603146036652998      -0.8863345096493447        -0.015241878817007226      -0.26136520738786473      
Redshift      All|All|All               All                   All      2.45441161954599          0.8529317996583075         1.798830259995432          -0.44138113168348814      
