#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4156.2786110161915    All      -0.6704707476020582        0.3684266810547676        0.07945289978197323       0.34194868922702154       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5877.264028342706     All      1.2854799795525078         -0.054523266837325224     -0.6844921328195253       -0.46702888227560524      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7185.855215016859     All      0.6190083732451271         -0.11853837203279483      0.4341727587176991        -0.2208681033659926       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5077.2287625118515    All      0.3165045230945419         0.34041635240962265       0.08755780809813762       0.011696172320692366      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4540.345029943081     All      -0.5511768047620583        0.4609061889392585        0.08255631263487384       0.33335283665547055       
Check         All|All|All                              All                   All      0.9993453235280605         0.9966875835335287        -0.0007523535868414477    -0.0008992874384133875    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4156.2786110161915    All      -0.0006137565607772428     0.00024986911144491623    -0.0006134358779985638    0.00025393646805744487    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5877.264028342706     All      -0.00023205360048975506    7.627276623284435e-05     -0.0009750278215313882    5.69210277435828e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7185.855215016859     All      -0.00039349637106650165    0.00018745465237996088    -0.0010364368309897381    0.0001429834454725956     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5077.2287625118515    All      8.213574393757007e-05      9.099809848862704e-05     -0.0018571496859172837    -7.998930046241398e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4540.345029943081     All      -0.0002822785069004218     0.00010237078086125627    -0.000988368595645754     8.118657659876542e-05     
MWEBV         All|All|All                              All                   All      -0.7682136384304088        -3.8298668720313067       0.04430799091692528       -0.9953039214479736       
Redshift      All|All|All                              All                   All      8.615186609054026          -1.709362228075495        26.391666441187187        -2.185306363090188        
