#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4156.2786110161915    All      -0.6983006543480701        0.35303722052892894       -0.12178655256759266      0.3370205593404687        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5877.264028342706     All      1.2915020526602032         -0.013137397590856636     -0.2869287668235231       -0.437768303356965        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7185.855215016859     All      0.6166824946994005         -0.10995245473193194      0.3292738097043088        -0.22199493078235902      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5077.2287625118515    All      0.3490097883949169         0.33376262568456383       0.17520508006162003       0.0028520955238074486     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4540.345029943081     All      -0.559826636314549         0.43353781068242725       -0.09488839319331606      0.31933704792491596       
Check         All|All|All                              All                   All      0.9990670450919016         0.9972478045731314        0.0008751771814970583     -0.0005535313501319195    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4156.2786110161915    All      -0.0005954476365325645     0.0002338687986702593     -0.0007593920575860236    0.0002362474668773741     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5877.264028342706     All      -0.0002634861509583248     7.858271183573874e-05     -0.0007068836219756517    7.987811289361538e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7185.855215016859     All      -0.0003078208290695762     0.0001466756810900804     -0.0005841751933810023    0.0001219754099890747     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5077.2287625118515    All      0.0001115538247388724      4.397556576951923e-05     -0.0013883458807985778    -8.396796242304832e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4540.345029943081     All      -0.00022589791141719887    5.4530850982522054e-05    -0.0009283200419510002    4.9918213893300944e-05    
MWEBV         All|All|All                              All                   All      -0.7708193574254096        -3.8304212351603972       0.03441395030091813       -0.9950772529458508       
Redshift      All|All|All                              All                   All      7.282867956471829          -0.9863665410628109       17.75166679138522         -1.9013863671383926       
