#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP           4647.030053704448     All      1.71467289480232          0.7467343633065227        -0.5331828550581896       -0.33908292594096723       
Zeropoint     VEGAHST|ACSWF|F775W            3956.3766572770223    All      -1.8167797555159164       0.29042629564894895       0.15836280186438678       0.6934533403974874         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      1.1128319814703946        -0.007736593109441969     0.29637644695763576       -0.3517801307318047        
Check         All|All|All                    All                   All      1.0107251207567982        1.0294240658460296        -0.07844360623616708      0.002590283724715481       
Lambda        VEGAHST|ACSWF|F850LP           4647.030053704448     All      -0.0004744797022579294    -0.0007056296569149615    -0.004238056128503795     -0.0002644181251667922     
Lambda        VEGAHST|ACSWF|F775W            3956.3766572770223    All      -0.0019910182846277383    0.00036463916034112546    0.0007770976085601185     0.0008019934258441694      
Lambda        VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      0.00023730655930556858    4.0915000597683426e-05    0.00014947689834472552    -5.7300724310963444e-05    
MWEBV         All|All|All                    All                   All      0.00128553255065178       -1.5567949419237337       -0.06172225732159475      -0.5102724507255518        
Redshift      All|All|All                    All                   All      3.6884843393178093        2.587652813507013         6.447530315567529         -0.07085337868991681       
