#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4647.030053704448     All      1.5635273454893452        0.6637634998662989         -1.049145358268206       -0.3399012246598667       
Zeropoint     VEGAHST|ACSWF|F775W            3956.3766572770223    All      -2.0826220420928854       0.3451451025203056         0.32503840410462187      0.805308601294959         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      1.533066166990201         -0.007013332574778985      0.7153946208228583       -0.46972978388021125      
Check         All|All|All                    All                   All      1.0139714703866616        1.0018952698118255         -0.008712333340725742    -0.004322407245119009     
Lambda        VEGAHST|ACSWF|F850LP           4647.030053704448     All      -0.0001691319699553915    -0.00035228897976979245    -0.005086710063797551    -0.0002866567715161777    
Lambda        VEGAHST|ACSWF|F775W            3956.3766572770223    All      -0.002649574032206686     0.00044475460024404436     0.0004421153330680481    0.0010276542127299847     
Lambda        VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      0.00019321304720170234    3.755962636101032e-08      9.448144375513545e-05    -5.870733869084292e-05    
MWEBV         All|All|All                    All                   All      0.005675544413399791      -1.565646330810111         -0.04721844518194913     -0.5139383720564944       
Redshift      All|All|All                    All                   All      3.8787671451464574        1.414644615334204          6.276135362748028        -0.5225706791908056       
