#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|PS|PS_i 7150.442940520836 All 1.440861281197552 0.08135197923967574 3.6353684877192887 -0.2806071072118351
Zeropoint AB|PS|PS_z 8217.603695539488 All 0.3037428111217871 0.0075348326694788526 0.2940910813530816 -0.08336074928564693
Zeropoint AB|PS|PS_g 4648.690509870503 All 0.7383978368381008 1.1444346718671747 6.124612539877255 0.4055728837108333
Zeropoint AB|PS|PS_r 5903.521366918395 All -1.1407000472846422 2.1462981938316146 -0.6127828095476145 1.0433377837811837
Check All|All|All All All 1.342301881872797 3.379619677607944 9.441289299402012 1.084942810994535
