#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7150.442940520836    All      1.610205763672629         -0.7205235948958943        2.7755188781813045         -0.6353365707679755        
Zeropoint     AB|PS|PS_z                8217.603695539488    All      0.33010862548070063       0.1071390598486488         -0.026896407034282532      -0.07382878612239366       
Zeropoint     AB|PS|PS_g                4648.690509870503    All      -0.6324327179956961       0.9213461603925666         1.2868632535531832         0.563543695154739          
Zeropoint     AB|PS|PS_r                5903.521366918395    All      -0.28358265814905514      0.6944285848673459         -3.851789371021752         0.14668276846463227        
Check         All|All|All               All                  All      1.0242990130085783        1.002390210212667          0.18369635367845305        0.001061106729002198       
Lambda        AB|PS|PS_i                7150.442940520836    All      2.9613414962929472e-05    -0.00044037634331191495    -0.00032606127360512575    -0.00016764174356962433    
Lambda        AB|PS|PS_z                8217.603695539488    All      0.00023506442722524764    1.6883219004628354e-05     -0.00022820285406935736    -8.125244274531636e-05     
Lambda        AB|PS|PS_g                4648.690509870503    All      -0.0003814690160930804    0.0005630871167204545      0.0008227964589557809      0.00034439063442686545     
Lambda        AB|PS|PS_r                5903.521366918395    All      -6.025397490389793e-05    0.00019657919598049537     -0.0007122580323142148     5.1874208618027975e-05     
MWEBV         All|All|All               All                  All      -0.546771838493127        -3.9407120552352737        0.26407321193787636        -1.0937336113051002        
Redshift      All|All|All               All                  All      8.038513286448483         -5.351314677299701         23.909138334397404         -3.294552446884606         
