#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5683.274408204386    All      -2.003646012478104        2.5791967481744393        -0.49534845482758216     1.47067753170722         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6805.72672318431     All      2.999627427942139         -1.5727696895147858       0.4980080366494666       -1.46715635714526        
Check         All|All|All                            All                  All      0.9959814154640342        1.0064270586596535        0.002659581821884416     0.0035211745619601054    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5683.274408204386    All      -4.315731346034372e-05    -0.0001473221507019795    -0.001123831096527069    -8.40813346794281e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6805.72672318431     All      -0.0015385344810333178    0.00068819320369569       -0.000958997736744692    0.000682522799607487     
MWEBV         All|All|All                            All                  All      -0.5508477078656786       -3.406345438165559        0.0035195444152369415    -0.9299724927410401      
Redshift      All|All|All                            All                  All      4.142908254857172         -0.28493911095068825      4.680954832510331        -1.2334060435680603      
