#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5683.274408204386    All      -2.0165376506677504       2.61257993185815          -0.4111644373666364       1.489507509643867         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6805.72672318431     All      3.0127908885026633        -1.6061316603126485       0.41445669294140886       -1.4860397335121625       
Check         All|All|All                            All                  All      0.9962532378349122        1.0064482715455014        0.0032922555747724735     0.0034677761317045697     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5683.274408204386    All      -9.942328826124844e-05    -7.556117153698511e-05    -0.0011525266003087513    -4.365929235115167e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6805.72672318431     All      -0.0015165847463347883    0.0006826415555744819     -0.0009831610004969226    0.0006724863989710724     
MWEBV         All|All|All                            All                  All      -0.549792652453267        -3.4073935412170187       0.003334937763665551      -0.9306657987915731       
Redshift      All|All|All                            All                  All      3.8613912911032857        -0.5602900951036105       3.7589536869058           -1.2725422576875576       
