#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4368.255123893203    All      -1.191413255277643        0.6002188432675304        -0.7505855401874116        0.5500983320975564        
Zeropoint     AB|CNIa02|SDSS_r                      6161.837730769663    All      0.8446021920592455        -0.4263660852665385       -1.299073808859434         -0.47196787919854283      
Zeropoint     AB|CNIa02|SDSS_i                      7472.305228109546    All      0.6368457184255081        -0.22410381608715113      0.13202567956862116        -0.2745478880820059       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5464.916978076201    All      0.7070629502400013        1.0513469697692734        1.9275736416613036         0.19816339037031622       
Check         All|All|All                           All                  All      0.9970976054471117        1.0010959116831142        0.009939972183079071       0.0017459551873238999     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4368.255123893203    All      -0.0010069855930594628    0.0005040000162395884     -0.0006431970755001237     0.00046347479151646073    
Lambda        AB|CNIa02|SDSS_r                      6161.837730769663    All      0.00013397956428440138    -6.929866140907679e-05    -0.00020360332130674188    -7.530028687703642e-05    
Lambda        AB|CNIa02|SDSS_i                      7472.305228109546    All      0.00013939712115091494    -5.780728707936048e-05    -6.3323194745569306e-06    -6.451854592778167e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5464.916978076201    All      -0.0004726170807132545    7.38366190777585e-05      -0.0014089704877703337     0.00011512206611285906    
MWEBV         All|All|All                           All                  All      -0.8563936243248014       -4.1191172987149915       0.04169878274412989        -1.0609156160111546       
Redshift      All|All|All                           All                  All      8.300226781318596         -2.713330216442067        -1.4841250824754022        -3.653707535524363        
