#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4368.255123893203 All -1.7095275888645998 0.697668277781883 -4.358959949808195 0.5895825255774463
Zeropoint AB|CNIa02|SDSS_r 6161.837730769663 All 1.0034341631458077 -0.34691405378981344 1.4061509238090366 -0.3771027818807111
Zeropoint AB|CNIa02|SDSS_i 7472.305228109546 All -0.04744704574207842 -0.08401063262638431 -2.110570898046717 -0.1060950488328033
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5464.916978076201 All -1.7702928901462749 1.672614320031471 -1.360892464639619 1.0607377662938495
Check All|All|All All All -2.523833361607145 1.9393579113971562 -6.424272388685495 1.1671224611577813
