#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5265.452653292917    All      -2.049114620673897        2.085945813160861         0.14056933163892962       1.3531981864069353        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6305.384758554948    All      2.878121689890107         -0.9345879767546861       -0.14007019568422555      -1.248175662362714        
Check         All|All|All                            All                  All      0.82900706921621          1.151357836406175         0.0004991359547040775     0.1050225240442213        
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5265.452653292917    All      -0.0001707117564153928    -6.44773957253842e-05     -0.0012378730186486514    -2.063656119376439e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6305.384758554948    All      -0.0008948168794032345    0.00024429236570253614    -0.0008534189277261574    0.00033296118957892087    
MWEBV         All|All|All                            All                  All      -0.5362513933881585       -3.014892261189317        -0.005586918762223725     -0.8076241940298317       
Redshift      All|All|All                            All                  All      4.700438020735618         0.508184846235693         0.6916976176232326        -1.3346874921451277       
