#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7479.406770807777     All      0.38268577197740644       -0.046049213550247714     0.12766503163905016        -0.13395598573065287       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5442.123341010257     All      0.6832943074653782        0.09710202652248867       -0.2380253791889922        -0.2015640905184956        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4342.63528307036      All      -0.7282460629208083       0.4416935869844707        -0.1557042582404786        0.37413946792388714        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6163.6192100882035    All      1.2400724091239765        -0.08221628273563653      0.1357971016486752         -0.42465292799144777       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4675.715067417245     All      -0.5788414310408585       0.5869571729599343        0.13197883625184428        0.3856285682629627         
Check         All|All|All                      All                   All      0.9989649946050944        0.9974872901810095        0.0017113321100988566      -0.00040496805374640177    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7479.406770807777     All      -7.320409184415462e-05    2.237261262272424e-06     -8.105610961365685e-05     2.0956568758747904e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5442.123341010257     All      0.00010370796511028534    -3.691107627753512e-05    -0.0006608611603251221     -7.529544636884762e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4342.63528307036      All      -0.0002893412064879814    6.941062868200256e-05     -0.0006380543035669693     8.83838422088955e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6163.6192100882035    All      -0.0002489985908795849    4.2221023969913915e-06    -0.00015103011066791612    7.574253033064227e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4675.715067417245     All      -6.613910816528985e-05    -9.413102827889421e-05    -0.0008329179350315951     -4.6287191274570976e-05    
MWEBV         All|All|All                      All                   All      -0.8901077730428533       -4.060873721086988        0.024630429138110775       -1.0317236414502324        
Redshift      All|All|All                      All                   All      4.58001162918739          0.6420124131910399        1.0732003229065314         -1.2348438995954905        
