#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7479.406770807777     All      0.45289428340031124        -0.03798765322464703       0.3069009640149112         -0.14620081581593336       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5442.123341010257     All      0.6174209248530537         0.06921301652669243        -0.45181154301225934       -0.19873162531564847       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4342.63528307036      All      -0.7495889141801592        0.48154765239996067        -0.04162520589661156       0.39916414116361043        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6163.6192100882035    All      1.2503726129474149         -0.07341322296312569       0.2564605694988842         -0.419755940680519         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4675.715067417245     All      -0.5716292521692721        0.5584374877001252         -0.06409145358645674       0.3652398080547403         
Check         All|All|All                      All                   All      0.9994696548513484         0.9977972804390056         0.0058333310184677245      -0.00028443259375010577    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7479.406770807777     All      -9.248455021662906e-05     -5.836426241679574e-06     -0.00019887990952156725    1.9349047677685595e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5442.123341010257     All      8.381328176249416e-05      -3.271470147075875e-05     -0.0008809760377973883     -7.727091218615476e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4342.63528307036      All      -0.00034354989385547554    0.0001087190199860955      -0.0005844683641858632     0.00012123672571599603     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6163.6192100882035    All      -0.00021316318680954298    -3.250416766567471e-05     -0.0004034962219351511     4.08404028464992e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4675.715067417245     All      -0.00011338317781534986    -2.1578032732674433e-05    -0.0008453381437879712     -7.81960280660477e-06      
MWEBV         All|All|All                      All                   All      -0.901287137317778         -4.061012352801896         0.017027543681824575       -1.028466593485247         
Redshift      All|All|All                      All                   All      3.8827270550166686         0.11720494105160739        0.5660945421492869         -1.2012922350783743        
