#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6155.85759230525      All      0.3392428028297651         -0.014085971474253611      0.16411028902259195        -0.10776731749443766       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4364.0156791641875    All      -0.3438663240550007        0.3812526539338723         0.6866413186179668         0.26683675525717737        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6195.651798188523     All      0.6640485391284394         -0.06940885516821815       -0.045750596174949004      -0.24095284233636013       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5459.613209678955     All      0.40277341810237854        0.12800888878614636        0.21028947150227958        -0.08011559339427358       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5470.406284753502     All      0.395861510282523          0.07086502981517029        -0.26456149907516247       -0.11766821037154722       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4365.204141163479     All      -0.483177487968381         0.2330231791624282         -0.4886899109665994        0.21148213333172156        
Zeropoint     AB|CNIa02|SDSS_i                      7465.053264999692     All      0.275791527669136          -0.03017590311999996       0.15771309702138214        -0.09262564706749402       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4700.014955149421     All      -0.459501045961736         0.3383014487833069         -0.41535190542139416       0.241335271564271          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7518.277562165537     All      0.20664221537718408        -0.041371653717225954      -0.0030394218342513044     -0.0809219120148868        
Check         All|All|All                           All                   All      0.9978151554043083         0.9964088170012264         0.0013608426918640562      -0.00039736252582950327    
Lambda        AB|CNIa02|SDSS_r                      6155.85759230525      All      -5.925128537978677e-05     -4.3401551832663e-06       -7.499556513981272e-05     1.4539653997513396e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4364.0156791641875    All      6.956842277747852e-06      -9.224515517679158e-06     -3.086343326303659e-05     -6.6480938607371415e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6195.651798188523     All      -9.21117312790632e-05      2.527134093674951e-06      -3.5065479439448005e-05    2.9262180680629894e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5459.613209678955     All      1.5860031378419727e-05     -1.9551152938409417e-05    -0.0002957815810686848     -2.4733961212781423e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5470.406284753502     All      6.0145164857323255e-05     -9.513966933129746e-06     -0.00028351373080697927    -3.53421866159639e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4365.204141163479     All      -0.00024320651052970818    4.818926196623955e-05      -0.0006891630489724518     6.416300807385077e-05      
Lambda        AB|CNIa02|SDSS_i                      7465.053264999692     All      -7.96244832257764e-05      9.407292746207929e-06      -3.968709690344068e-05     2.7229525633945593e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4700.014955149421     All      -0.00011929121159457175    -4.145525493882341e-05     -0.0009746870649632329     -1.8142075323848402e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7518.277562165537     All      -4.370709949743763e-05     -2.002750988724173e-08     -7.183575371265787e-05     1.1024616849809858e-05     
MWEBV         All|All|All                           All                   All      -0.8886778700432805        -4.085702468734409         0.03990365782426318        -1.039595373801044         
Redshift      All|All|All                           All                   All      4.793158681241435          0.3373027956255381         2.1326625415650406         -1.3562479209841976        
