#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6155.85759230525      All      0.42955689943350095        -0.014141249814692003      0.2511746593033881         -0.13331831300443936       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4364.0156791641875    All      -0.3691761422359264        0.3913133704119165         0.7065143086338765         0.27924494232269836        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6195.651798188523     All      0.6508812929322987         -0.06694231963262354       -0.04769146354437481       -0.23594701728680834       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5459.613209678955     All      0.40258783499720063        0.11822514605701606        0.213207112736713          -0.08311182882581591       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5470.406284753502     All      0.4061204691127122         0.07389354064639697        -0.22991698293522989       -0.11847737952066506       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4365.204141163479     All      -0.4987389254833112        0.24518822287955544        -0.448073905925539         0.22232606620555956        
Zeropoint     AB|CNIa02|SDSS_i                      7465.053264999692     All      0.2525214595735155         -0.02630635340916676       0.16161859439975945        -0.0836110962703307        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4700.014955149421     All      -0.4842970182031476        0.31054096219804705        -0.6402699745735818        0.23033257129791984        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7518.277562165537     All      0.2089162761780144         -0.03608163446346957       0.032980653172165475       -0.07833210461136719       
Check         All|All|All                           All                   All      0.9983721463048572         0.9956896848729802         -0.0004569987328228997     -0.0008941596932487972     
Lambda        AB|CNIa02|SDSS_r                      6155.85759230525      All      -0.00011717452907210184    -4.699694109437212e-06     -0.00013098080652463402    3.0791682237390805e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4364.0156791641875    All      2.2880961721078653e-05     -3.4605290025194925e-05    -8.352453785082536e-05     -2.2452479945223668e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6195.651798188523     All      -0.00015778432380626425    2.065720633684005e-06      -0.00013343127692691992    4.6113993322788346e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5459.613209678955     All      1.4671383072964187e-05     -4.121532579941252e-05     -0.00042897760001163346    -3.73474397635083e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5470.406284753502     All      1.4155603067530988e-05     -1.7368283868165282e-05    -0.00030262715465092306    -2.3773227075854313e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4365.204141163479     All      -0.00020688291073710018    2.9679446589847522e-05     -0.0006068614127549592     4.9974704814175345e-05     
Lambda        AB|CNIa02|SDSS_i                      7465.053264999692     All      -8.590502183928082e-05     1.1201773944722415e-05     -3.558791764954593e-05     3.0042752790233044e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4700.014955149421     All      -8.840459130261041e-05     -0.00011396158333414871    -0.001163537093088284      -6.0248069636688346e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7518.277562165537     All      -4.801360822018337e-05     -2.0490427568481196e-07    -8.599688711545647e-05     1.1735221631817921e-05     
MWEBV         All|All|All                           All                   All      -0.8992900116546534        -4.081796037901775         0.045600095801923146       -1.0346119912450351        
Redshift      All|All|All                           All                   All      4.807040141662638          0.9298693858564189         2.752009830168467          -1.1401125110987425        
