#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            4201.499993651794     All      -1.1249570857497124        0.38043973354877636        -0.9423075362180868        0.44830641265036186        
Zeropoint     VEGAHST|ACSWF|F606W            3280.282472191158     All      -0.6253426480934496        0.10162617742306423        0.3057760412437893         0.25044304337684464        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    6307.0367211516095    All      0.2442650973341815         -0.011632605241906901      0.510651742552446          -0.06056625858189033       
Zeropoint     VEGAHST|ACSWF|F850LP           4934.9438722491805    All      2.4826881305962103         0.5309158579247963         0.15494924868583718        -0.6288417672968907        
Check         All|All|All                    All                   All      0.9766534940872299         1.00134916365473           0.029069496263985722       0.009341430148425478       
Lambda        VEGAHST|ACSWF|F775W            4201.499993651794     All      -0.0009621200184530446     0.00016540466700076207     -0.003204282269719191      0.00022427948355123041     
Lambda        VEGAHST|ACSWF|F606W            3280.282472191158     All      -0.0014344452050787675     0.0002353216187255599      0.0006613045662085504      0.0005734089737377521      
Lambda        VEGAHST|NICMOS2|F110W_faint    6307.0367211516095    All      -1.1257958428816228e-05    5.806145649659531e-07      -2.3466585806011954e-05    2.809006755165649e-06      
Lambda        VEGAHST|ACSWF|F850LP           4934.9438722491805    All      -0.00010847148203194956    -4.0685523179210635e-05    -0.001347224936472789      -3.8040344444310485e-05    
MWEBV         All|All|All                    All                   All      -0.1759530591859666        -1.6942737849587886        0.0975586514662081         -0.4902134171081275        
Redshift      All|All|All                    All                   All      7.64229476895343           0.17195884029561626        9.89676497756784           -1.9916870119645018        
