#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            4201.499993651794     All      -1.1701678375862294        0.36072521619061604       -0.8213729536526798        0.4620081300086086         
Zeropoint     VEGAHST|ACSWF|F606W            3280.282472191158     All      -0.6840319572056999        0.11045960354518769       0.3297830842641347         0.2735087437443238         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    6307.0367211516095    All      0.2844282341192153         -0.014130816455093509     0.4759958829323785         -0.07600899498780879       
Zeropoint     VEGAHST|ACSWF|F850LP           4934.9438722491805    All      2.560199804495938          0.5421697638009704        0.07160535591496098        -0.6541433573076932        
Check         All|All|All                    All                   All      0.9904282438232241         0.9992237670816806        0.05601136945879437        0.005364521457430382       
Lambda        VEGAHST|ACSWF|F775W            4201.499993651794     All      -0.0009314934858297126     0.00016512876440830614    -0.0031872248055671306     0.0002149747400245348      
Lambda        VEGAHST|ACSWF|F606W            3280.282472191158     All      -0.0013881587996540047     0.00022347722682531577    0.0007270411546456986      0.0005574073826272903      
Lambda        VEGAHST|NICMOS2|F110W_faint    6307.0367211516095    All      -1.4242174994893154e-05    7.367771481637767e-07     -2.3347094389267234e-05    3.837263912614762e-06      
Lambda        VEGAHST|ACSWF|F850LP           4934.9438722491805    All      -0.00013798720527444155    -4.758068959153526e-05    -0.0012644092089199304     -2.6976399328704957e-05    
MWEBV         All|All|All                    All                   All      -0.151420435583695         -1.6982820031083534       0.07710562621180139        -0.5004228328122612        
Redshift      All|All|All                    All                   All      7.774243036986336          0.17111907901625756       8.72172639213364           -2.0873770170188175        
