#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5445.188290892251     All      1.3891215137926842        0.2882378479942105         0.3685309444076523         -0.342148184499878         
Zeropoint     AB|SDSS|SDSS_r            4490.229673133094     All      0.7215748316238658        0.5726336986876746         1.658729196779385          0.02550643876957151        
Zeropoint     AB|SDSS|SDSS_g            3436.3098202830706    All      -1.2120434667170057       0.14070253509839148        -1.614593481873805         0.3685819852764449         
Zeropoint     AB|SDSS|SDSS_z            6473.874974311527     All      0.09800921940127594       -0.0024468053311466065     -0.3913253849896048        -0.05018488679999948       
Check         All|All|All               All                   All      0.9966620981008203        0.9991272764491299         0.021341274323627424       0.0017553527461389856      
Lambda        AB|SDSS|SDSS_i            5445.188290892251     All      -9.474185562263564e-05    -6.906443319761778e-05     -0.0030072427910386714     -0.00012583545275155706    
Lambda        AB|SDSS|SDSS_r            4490.229673133094     All      -0.0004847841845082899    -0.00025580503730820195    -0.0033101111403830443     -7.312901597146227e-05     
Lambda        AB|SDSS|SDSS_g            3436.3098202830706    All      -0.0015763294204817252    0.0002464262921927042      -0.0010264935473668943     0.0005479238099951677      
Lambda        AB|SDSS|SDSS_z            6473.874974311527     All      -6.872775630101511e-05    -1.2405451932041668e-05    -0.00013112691777203813    1.2494435385734272e-05     
MWEBV         All|All|All               All                   All      -0.6907887496440355       -2.63706648798685          -0.3029686390242592        -0.64748678888897          
Redshift      All|All|All               All                   All      5.442126618561842         1.2941390298824018         10.986312595885227         -0.8608673495254605        
