#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5779.192411225777    All      0.6279819604726988         0.42088114888816364       -1.0265031997357066        -0.11326767099294043      
Zeropoint     AB|PS|PS_z                8044.539854102842    All      0.3294113681785189         -0.09342292973339994      0.4837732238446524         -0.11614246457498419      
Zeropoint     AB|PS|PS_g                4550.788461159518    All      -0.966385991203187         0.9352757475433293        0.40097311843063643        0.6373273797952813        
Zeropoint     AB|PS|PS_i                6999.853648421997    All      1.0054211596013705         -0.2625977503072363       0.12633315447601046        -0.40739780708319         
Check         All|All|All               All                  All      0.9964284970494012         1.0001362163908567        -0.015423702984407317      0.0005194371441666901     
Lambda        AB|PS|PS_r                5779.192411225777    All      -0.00012852274946959042    -5.696715356680589e-05    -0.0002971192117388817     1.004894589399275e-05     
Lambda        AB|PS|PS_z                8044.539854102842    All      -9.837612046068954e-05     2.0371924477254832e-05    -1.872606073449008e-05     3.7844486846032325e-05    
Lambda        AB|PS|PS_g                4550.788461159518    All      -0.0001285964443507489     -8.293241482521042e-06    -0.00043455088876763974    1.979470068633916e-05     
Lambda        AB|PS|PS_i                6999.853648421997    All      -0.0008643837494073858     0.00013290355201134088    -0.0014517686989189591     0.0002600635145494558     
MWEBV         All|All|All               All                  All      -0.6307562931114639        -3.811510921200245        0.13193359684144923        -1.03018883560961         
Redshift      All|All|All               All                  All      5.769941605142893          -0.24855026386134682      8.722085659412237          -1.5711941803468286       
