#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5779.192411225777    All      0.5328602954812243         0.4639914109720422        -1.5290339045732504        -0.09066662196603172      
Zeropoint     AB|PS|PS_z                8044.539854102842    All      0.3377689884516386         -0.09265579742887553      0.6635838946289259         -0.11059081182943041      
Zeropoint     AB|PS|PS_g                4550.788461159518    All      -0.9150554656634935        0.9030885361895002        0.5725004518713341         0.6177773823320413        
Zeropoint     AB|PS|PS_i                6999.853648421997    All      1.0429020437615042         -0.2767079286858376       0.30115047283087687        -0.4164014194363231       
Check         All|All|All               All                  All      0.9984758620308737         0.9977162210468293        0.00820091475788648        0.00011852910025605956    
Lambda        AB|PS|PS_r                5779.192411225777    All      -0.0001431945432042489     -4.419845642773582e-05    -0.0003719454796767044     1.5648063863454255e-05    
Lambda        AB|PS|PS_z                8044.539854102842    All      -4.0175236302153776e-05    4.893394787562773e-06     0.00018180544892598653     2.2793478043184597e-05    
Lambda        AB|PS|PS_g                4550.788461159518    All      -0.00011034411429133932    -9.797857181020947e-06    -0.00029997105061566856    1.9364893542661818e-05    
Lambda        AB|PS|PS_i                6999.853648421997    All      -0.0008998708339657236     0.00014454478756816425    -0.001962580315346026      0.00025261958251839814    
MWEBV         All|All|All               All                  All      -0.6247833342248934        -3.8153609728286852       0.16249073901941202        -1.0320248883902712       
Redshift      All|All|All               All                  All      6.055915880135551          -0.3209053666962447       11.276768959551072         -1.573910064942443        
