#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4368.782632399555    All      -0.5432334291356865        0.3020626809773663         -0.28973621092029794       0.26241115609673354        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5465.576918970375    All      0.18083896022962337        0.29113783453267317        -0.25495357518873957       0.024550564984427526       
Zeropoint     AB|PS|PS_z                            8629.454958189564    All      0.23588260406238248        -0.054106510141105346      0.10662881302965485        -0.08970064065746747       
Zeropoint     AB|PS|PS_r                            6199.395057002377    All      0.7461692272191573         -0.0711308966737434        0.2517532393739891         -0.25498694791487436       
Zeropoint     AB|CNIa02|SDSS_r                      6162.581831497654    All      0.50155373064551           -0.1265222017496459        -0.36758953927435134       -0.22098882712564888       
Zeropoint     AB|PS|PS_g                            4881.674373183212    All      -0.5601189966849077        0.780726261331699          0.4670560547529923         0.45759997964748106        
Zeropoint     AB|CNIa02|SDSS_i                      7473.207580297798    All      0.1891528053404971         -0.05777263239887809       -0.029350285443456657      -0.08174150711567711       
Zeropoint     AB|PS|PS_i                            7508.810058560285    All      0.24640962681362624        -0.06713539086482534       0.11640292712522028        -0.09693739956426593       
Check         All|All|All                           All                  All      0.9966545284902022         0.9972591450135404         0.00021142345501100335     0.00020637835070838606     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4368.782632399555    All      -0.000315584804074554      0.00017534097559089028     -0.00025353545096800333    0.0001485965546849602      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5465.576918970375    All      -4.354710553738494e-05     -1.3412799055771153e-05    -0.000719405210863056      -2.2288015441897358e-05    
Lambda        AB|PS|PS_z                            8629.454958189564    All      0.00018845279120036974     -3.96116236150841e-05      7.161123996350878e-05      -7.109240226073392e-05     
Lambda        AB|PS|PS_r                            6199.395057002377    All      -0.0001874408854017713     7.37327719188404e-06       -0.0002900516611295308     5.0513708475214864e-05     
Lambda        AB|CNIa02|SDSS_r                      6162.581831497654    All      5.7033030074320144e-06     -2.043978081857434e-05     -0.00025130790567875615    -1.9730380099021484e-05    
Lambda        AB|PS|PS_g                            4881.674373183212    All      -0.00022863100934990835    6.358187720223347e-06      -0.0004900887735692281     5.467330133262132e-05      
Lambda        AB|CNIa02|SDSS_i                      7473.207580297798    All      1.4968104469140298e-05     -1.3468765129823804e-05    -4.901598680246297e-05     -1.1450182342313204e-05    
Lambda        AB|PS|PS_i                            7508.810058560285    All      -3.976974470125785e-05     -4.785535223302027e-06     -0.00014767111910582366    4.805624156500971e-06      
MWEBV         All|All|All                           All                  All      -0.7982998825140695        -4.13540353491495          0.04523580838789837        -1.0849857806683187        
Redshift      All|All|All                           All                  All      6.6233313265848475         0.04535379592978117        4.845078745194352          -1.9264500790108927        
