#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4368.782632399555    All      -0.49002428365357376       0.234467686345452          -0.43298079867308825       0.21666892527062304        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5465.576918970375    All      0.19029506167106303        0.23645659232207628        -0.41694368854247044       -0.003569952664268794      
Zeropoint     AB|PS|PS_z                            8629.454958189564    All      0.27277618169362094        -0.06523211050062372       0.0699303456358713         -0.10697975076290889       
Zeropoint     AB|PS|PS_r                            6199.395057002377    All      0.8520434896497237         -0.08251645496448745       0.20098053741808286        -0.2954480817550273        
Zeropoint     AB|CNIa02|SDSS_r                      6162.581831497654    All      0.3704996714921666         -0.1127524115269729        -0.3821568806508857        -0.1744650083610133        
Zeropoint     AB|PS|PS_g                            4881.674373183212    All      -0.606999042448825         0.8928583774427512         0.8058154078982471         0.5245127461803375         
Zeropoint     AB|CNIa02|SDSS_i                      7473.207580297798    All      0.12836294756964067        -0.04166306698301092       -0.017783973725060687      -0.056176683698040686      
Zeropoint     AB|PS|PS_i                            7508.810058560285    All      0.26059892768077697        -0.0729865282445008        0.07269699659613327        -0.1054156245575269        
Check         All|All|All                           All                  All      0.9775529536545932         0.9886320838906837         -0.10044205404317053       -0.0008734303478253325     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4368.782632399555    All      -0.0003006984159787974     0.00014627675329172526     -0.0003456326257683497     0.00013017052102288557     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5465.576918970375    All      -4.375629350431926e-05     -3.8917481350318376e-05    -0.0007373590714247996     -3.132878847921716e-05     
Lambda        AB|PS|PS_z                            8629.454958189564    All      0.00017371910530599135     -3.972439862230248e-05     4.408292207663047e-05      -6.755835296540569e-05     
Lambda        AB|PS|PS_r                            6199.395057002377    All      -0.0002160451912829012     4.5828079991953066e-05     -0.00011971406196195851    7.995845107037979e-05      
Lambda        AB|CNIa02|SDSS_r                      6162.581831497654    All      7.60758233293776e-05       -2.772568610575849e-05     -5.043909384972622e-05     -3.60624316913839e-05      
Lambda        AB|PS|PS_g                            4881.674373183212    All      -0.00019625853367561357    -5.653296419467307e-05     -0.0005644253474567119     2.0325503869501935e-05     
Lambda        AB|CNIa02|SDSS_i                      7473.207580297798    All      2.1804661616778436e-05     -1.5253355520432464e-05    -2.8927985377500796e-05    -1.3361938480107008e-05    
Lambda        AB|PS|PS_i                            7508.810058560285    All      -3.993058453504044e-05     -6.928898793672692e-07     -0.0001108590943741459     7.833875806649897e-06      
MWEBV         All|All|All                           All                  All      -0.802009022095433         -4.13645129236726          0.023062374547666575       -1.0851083794654062        
Redshift      All|All|All                           All                  All      6.9611341720894995         0.5301531061671305         7.25930683219127           -1.7708325830332785        
