#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3896.017036494967    All      -0.9122883781075898       0.5650037167844957         0.21069351625990773        0.490604920723027         
Zeropoint     AB|SDSS|SDSS_r            5090.929578305798    All      0.6191568636412492        0.37328961092697455        -0.48174547115473754       -0.10158514080210873      
Zeropoint     AB|SDSS|SDSS_i            6173.641917564798    All      1.2226100761413021        0.052256562940300455       0.14148377726865835        -0.3749088715684676       
Zeropoint     AB|SDSS|SDSS_z            7339.945613512347    All      0.06784900900580335       0.008200203070174439       0.1338470204206521         -0.013456600696416798     
Check         All|All|All               All                  All      0.9973275706807648        0.9987500937219451         0.004278842794480653       0.0006543076560339145     
Lambda        AB|SDSS|SDSS_g            3896.017036494967    All      -0.001297548066437445     0.0004832646542801768      -0.0019619395142548937     0.0004925169404771015     
Lambda        AB|SDSS|SDSS_r            5090.929578305798    All      3.930384153112731e-05     7.274278451076382e-05      -0.0007543712737616128     -2.277196140902425e-05    
Lambda        AB|SDSS|SDSS_i            6173.641917564798    All      -0.0002475701513209839    -3.8769266969328556e-05    -0.00036898128826850444    5.154737715272647e-05     
Lambda        AB|SDSS|SDSS_z            7339.945613512347    All      -1.578591507239581e-05    1.7525912042875514e-06     2.2262485736817933e-05     6.706340984569192e-06     
MWEBV         All|All|All               All                  All      -0.5505097190550559       -3.174635085849431         0.1347714569063685         -0.8487497319863854       
Redshift      All|All|All               All                  All      5.501555662535515         0.3697908461834487         1.070987600806128          -1.6237913729777287       
