#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3896.017036494967    All      -1.035377991273322         0.5642693646905172         -0.08385906396725377       0.5173155257981517        
Zeropoint     AB|SDSS|SDSS_r            5090.929578305798    All      0.7227747066696614         0.3685688902740125         -0.17056028957260425       -0.12298780979384223      
Zeropoint     AB|SDSS|SDSS_i            6173.641917564798    All      1.223582781952941          0.06026764182536226        0.16132148065495888        -0.371730976312003        
Zeropoint     AB|SDSS|SDSS_z            7339.945613512347    All      0.08636440262917883        0.005794083818777551       0.09495863507557903        -0.022006835767116272     
Check         All|All|All               All                  All      0.997343899978459          0.9988999806086696         0.0018607621906799043      0.000589903925190139      
Lambda        AB|SDSS|SDSS_g            3896.017036494967    All      -0.0011847027000884435     0.0004402568971878387      -0.0015043560083205362     0.0004621703010216186     
Lambda        AB|SDSS|SDSS_r            5090.929578305798    All      9.590159461397637e-05      3.695237270234757e-05      -0.0009216038188605163     -6.032864661091842e-05    
Lambda        AB|SDSS|SDSS_i            6173.641917564798    All      -0.00014578035422735806    -2.4628796088322893e-05    -0.00024810442344302985    2.839128733789579e-05     
Lambda        AB|SDSS|SDSS_z            7339.945613512347    All      -1.6264029004301963e-05    -6.742917028840316e-07     -1.2984212342631918e-05    4.498664563673407e-06     
MWEBV         All|All|All               All                  All      -0.5650402782238002        -3.1711945924771           0.1009862887089504         -0.8444036458306755       
Redshift      All|All|All               All                  All      5.265906503188958          0.7363017890485324         0.984878299334331          -1.431490679847434        
