#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6305.384758554948    All      3.002598234961935          -0.9644343524277232       0.5077521678383373        -1.26953437797909          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5265.452653292917    All      -2.0044684392554553        1.9685423168226635        -0.4995411601994162       1.2718480837559605         
Check         All|All|All                            All                  All      0.9981297957064799         1.0041079643949402        0.00821100763892113       0.0023137057768705116      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6305.384758554948    All      -0.0011549056842070958     0.000335709680557724      -0.0013110697265916191    0.0004270354437204456      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5265.452653292917    All      -0.00017017087647501844    -4.893785774734382e-05    -0.0016195513397504525    -3.2783555315354194e-05    
MWEBV         All|All|All                            All                  All      -0.5370139066984749        -3.0148008810918725       -0.008183917435198999     -0.8074619449778566        
Redshift      All|All|All                            All                  All      5.783511872822663          0.35392999582271045       5.472589589165481         -1.5243769066072579        
