#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.862938705478     All      1.4481180779641192         -0.8325799855546379        3.149445326974807          -0.6023531119619572       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.1448403929335    All      -0.5032956309076368        0.40762713910620363        1.076631510377577          0.344762634180967         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.720634861336     All      -0.47459403830798463       0.7824726538069982         -0.5692791215084951        0.3840636652991267        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6089.463388543439     All      0.49297791872886626        0.6866608530510021         -3.8369684855832054        -0.10813737726474376      
Check         All|All|All                                All                   All      0.9632063274773638         1.044180660409566          -0.18017076973931667       0.01833581025339276       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.862938705478     All      -0.00010378651625784512    -5.077240679535712e-05     -0.00032197622050119144    2.900119626653019e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.1448403929335    All      -0.00053326119956459       0.0004385298226206774      0.0009313471136103016      0.00035810605105859243    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.720634861336     All      -0.0010060663276031181     0.0010331062520602707      -0.004139300814464948      0.0004795076117529938     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6089.463388543439     All      6.460102901446088e-06      -0.00021463261700754816    -8.986769239474459e-05     -7.602755497298836e-05    
MWEBV         All|All|All                                All                   All      -0.665793981162361         -4.094909099081878         0.5660718800255319         -1.0917144203114069       
Redshift      All|All|All                                All                   All      13.139648805780553         -4.605162570583143         23.90932911789656          -4.713105305280738        
