#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.862938705478     All      1.49426744832853           -0.6537432408389998       -0.42291992103818954       -0.718550722589499        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.1448403929335    All      -0.6590809660097876        0.5583337039143155        -0.4938183615348368        0.3745151642976646        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.720634861336     All      -0.7027503042669809        1.0075868319546766        0.20210542075945748        0.5661321103797079        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6089.463388543439     All      0.9662934097651286         0.029688834959906707      0.7284007269413473         -0.2725777443694649       
Check         All|All|All                                All                   All      1.0987295878168903         0.9418661299898989        0.01376786512777839        -0.050481192281591425     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.862938705478     All      -0.00017079611331162237    -2.986684431898785e-05    0.0001409571028788922      5.2195567455062795e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.1448403929335    All      -0.00038328512905109633    0.00022660866553667782    -0.001370807413673162      0.00013748963482558663    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.720634861336     All      -0.0004569479613868771     0.0008112230433704955     0.0002173809344988815      0.00042278573054844277    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6089.463388543439     All      -3.893773379784746e-05     -9.236484866727968e-05    -1.4806080815813008e-05    -1.806369639778456e-05    
MWEBV         All|All|All                                All                   All      -0.5891813908010994        -4.076798596603481        0.0589132105333956         -1.1334026371202954       
Redshift      All|All|All                                All                   All      11.469758190624638         -4.827411406539106        1.7313325531891355         -5.231262878624376        
