#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5978.922298809477     All      1.3225379814407354         0.07852316887078103        -0.2341624832064404        -0.41566614748183606       
Zeropoint     AB|SDSS|SDSS_g            3773.1347958110478    All      -1.1288022471886046        0.4685234769196356         -0.3297078094597339        0.505588193554481          
Zeropoint     AB|SDSS|SDSS_r            4930.359224560871     All      0.6923209193650061         0.4517655243006402         0.5366075478180077         -0.05441047590009733       
Zeropoint     AB|SDSS|SDSS_z            7108.440218377335     All      0.11028630353446897        0.00039087184706687594     0.029156683220177282       -0.03449542869258561       
Check         All|All|All               All                   All      0.9963429571516057         0.9992030419381237         0.001893938372010684       0.0010161414799620405      
Lambda        AB|SDSS|SDSS_i            5978.922298809477     All      -0.0002013738640953069     -1.2773427430341875e-05    -0.00014290019896947068    5.505638742871255e-05      
Lambda        AB|SDSS|SDSS_g            3773.1347958110478    All      -0.0018583879316560496     0.0006752777073113612      -0.0012437089477505179     0.0007697972355457948      
Lambda        AB|SDSS|SDSS_r            4930.359224560871     All      -0.00014885772267115769    -7.519084706085953e-05     -0.001719386669887268      -5.2732605265230496e-05    
Lambda        AB|SDSS|SDSS_z            7108.440218377335     All      -4.7953975551635784e-05    -5.810474969100314e-06     -0.0001260265014285702     8.10354067974637e-06       
MWEBV         All|All|All               All                   All      -0.536729809891145         -3.028864797680164         0.08732652793956852        -0.8078733724629635        
Redshift      All|All|All               All                   All      4.941194042785096          0.15427406070571692        6.969847114679839          -1.2482250577746714        
