#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5978.922298809477     All      1.2595778675320652         0.07703220375905317       -0.27160782494394425       -0.3973146370652549       
Zeropoint     AB|SDSS|SDSS_g            3773.1347958110478    All      -1.0825499729061763        0.4642200707349886        -0.27222660389929176       0.4916856673964045        
Zeropoint     AB|SDSS|SDSS_r            4930.359224560871     All      0.7264059341816855         0.4537973255171579        0.4680395846212265         -0.06791113536528329      
Zeropoint     AB|SDSS|SDSS_z            7108.440218377335     All      0.09388231940183926        0.003528588595536064      0.07684686319140363        -0.026001860113707136     
Check         All|All|All               All                   All      0.997316148209414          0.9985781886067358        0.0010520189693941917      0.0004580348521592073     
Lambda        AB|SDSS|SDSS_i            5978.922298809477     All      -0.00018627927329520976    -1.345425038906644e-05    -0.00011577066216311396    5.1128482797979386e-05    
Lambda        AB|SDSS|SDSS_g            3773.1347958110478    All      -0.0017475457160343504     0.0006664174242826371     -0.0009357925336664852     0.0007445470889917523     
Lambda        AB|SDSS|SDSS_r            4930.359224560871     All      -0.00021313679512855778    -9.83177686823377e-05     -0.001743031635679097      -4.038316209831148e-05    
Lambda        AB|SDSS|SDSS_z            7108.440218377335     All      -3.68859899866578e-05      -2.130613118432624e-06    -5.366858475088003e-05     8.925987217379352e-06     
MWEBV         All|All|All               All                   All      -0.5474120268885079        -3.02897513861371         0.04046760451083864        -0.8065208631619599       
Redshift      All|All|All               All                   All      4.98100885947335           0.23400910259301355       6.894555732961477          -1.2385816356562263       
