#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8596.882470473647    All      0.15442952340354849        -0.021392839203748792      0.05799662746612057        -0.05468300477017549       
Zeropoint     AB|SDSS|SDSS_g                           4563.194651476818    All      -0.30348048871700595       0.1787578397314249         -0.5730178631941059        0.13150973328691803        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4249.039047000815    All      -0.24395060874474975       0.1993959771093401         0.11418370924075956        0.14950806319872115        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6008.433669430006    All      0.6134001645988063         0.011906806293282557       0.1763323644851344         -0.18805727178210435       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5190.543099129223    All      0.21369637667546246        0.20517675252778034        0.19386170419729357        0.00587603561151371        
Zeropoint     AB|SDSS|SDSS_r                           5962.73127277434     All      0.4992925430726679         -0.0022486411006994445     -0.5783169712996105        -0.18917609421544432       
Zeropoint     AB|SDSS|SDSS_i                           7230.853847525562    All      0.2695907815400431         -0.02925619801654733       0.06725982014858332        -0.09434279615512527       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7346.230186247283    All      0.21638053228040705        -0.02461172939174361       0.1390622716972423         -0.07229339754059559       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4641.677116627993    All      -0.26941067486686326       0.4051550143682192         0.4580783951142326         0.24017017243183467        
Zeropoint     AB|SDSS|SDSS_u                           3470.248154834643    All      -0.1546684887032688        0.07433988385798784        -0.05451004848138669       0.07216302798674484        
Check         All|All|All                              All                  All      0.9952796605390477         0.9972228661752958         0.000930009374263234       0.0006744680522873525      
Lambda        AB|SDSS|SDSS_z                           8596.882470473647    All      1.767566535349119e-05      -5.947223670182008e-06     -2.326866235600886e-06     -7.798589478159779e-06     
Lambda        AB|SDSS|SDSS_g                           4563.194651476818    All      -0.00017666013483282753    4.779566520136629e-05      -0.0005111822683744318     5.030092158530836e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4249.039047000815    All      -0.0001490080236338938     7.79489903258732e-05       -0.000137007410838431      6.781335461723191e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6008.433669430006    All      -8.220963436586389e-05     -1.8587617260527115e-05    -0.0003802276334750247     3.75597111376495e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5190.543099129223    All      1.285217640814082e-05      5.186497651240096e-05      -0.0005474553041988784     -1.1722663378171403e-05    
Lambda        AB|SDSS|SDSS_r                           5962.73127277434     All      -3.749251344980145e-05     1.3999425717722316e-06     -5.953730126306334e-06     1.240286481898036e-05      
Lambda        AB|SDSS|SDSS_i                           7230.853847525562    All      -1.400174562781761e-05     -2.3968005955295124e-05    -0.00023497545968922132    -1.373221443156379e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7346.230186247283    All      -1.3627015796541389e-05    -7.466809964525517e-06     -0.00014100859567367974    -4.285984291621582e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4641.677116627993    All      -0.0001235510593534062     -1.2791013889410411e-05    -0.00045610078926366796    1.5724507275203018e-05     
Lambda        AB|SDSS|SDSS_u                           3470.248154834643    All      -7.447884786213711e-05     3.7991701847983386e-05     4.1772217564364595e-05     3.8499460428807316e-05     
MWEBV         All|All|All                              All                  All      -0.8849056108688615        -3.8889932540947747        -0.0034401529689121447     -0.9786836951735031        
Redshift      All|All|All                              All                  All      5.0310935122915925         0.5369296232442977         7.859286095565215          -1.1131731902133095        
