#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8596.882470473647    All      0.14590297013925577        -0.019391251482048233      0.062092359483711945       -0.051070869176558786      
Zeropoint     AB|SDSS|SDSS_g                           4563.194651476818    All      -0.28279167820420453       0.2154719815607109         -0.5271644960378907        0.1387759360937213         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4249.039047000815    All      -0.23026706699941316       0.21733314218597144        0.17714004043196674        0.15370306017086777        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6008.433669430006    All      0.5874298875376815         0.016049970367149058       0.12968288011521167        -0.1803300855357487        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5190.543099129223    All      0.17709943230394712        0.171002088774852          0.07232285627236656        0.0012413315245013434      
Zeropoint     AB|SDSS|SDSS_r                           5962.73127277434     All      0.4494319058049738         0.005458675332192797       -0.4384985562723376        -0.16418486406582777       
Zeropoint     AB|SDSS|SDSS_i                           7230.853847525562    All      0.3075173937138976         -0.03358554313281914       0.06884404357245799        -0.10803625500888925       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7346.230186247283    All      0.19876052457007373        -0.020351876183610784      0.12031571173789501        -0.06600297988455794       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4641.677116627993    All      -0.2305582992318046        0.3756555937171058         0.3583246304963872         0.21345419131169885        
Zeropoint     AB|SDSS|SDSS_u                           3470.248154834643    All      -0.12840752283199203       0.06696865277255881        -0.015491185867277935      0.06294914760284487        
Check         All|All|All                              All                  All      0.9941175468024153         0.9946114339120626         0.007568283932490871       0.0004986130320516757      
Lambda        AB|SDSS|SDSS_z                           8596.882470473647    All      1.3038490848025697e-05     -4.284000463199528e-06     6.414393588740325e-07      -5.6138808205405485e-06    
Lambda        AB|SDSS|SDSS_g                           4563.194651476818    All      -0.00021352623482311897    4.4594197316321634e-05     -0.0008042578831944063     4.8187981153683044e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4249.039047000815    All      -0.0001682409108942157     0.00014712473399831674     0.00010653861547799998     0.00010747929485766074     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6008.433669430006    All      0.0001008545917297852      6.859065054420492e-06      9.605767142091486e-06      -3.0188774129282795e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5190.543099129223    All      2.9225494557449883e-05     7.444463255082485e-05      -0.0005721261062633887     -1.0801999532478594e-05    
Lambda        AB|SDSS|SDSS_r                           5962.73127277434     All      0.00012645479661416495     3.2046488603795953e-06     3.0623367661353776e-05     -3.878004768214329e-05     
Lambda        AB|SDSS|SDSS_i                           7230.853847525562    All      2.4188940485305356e-05     -2.1241365371379397e-05    -0.00012655263116097553    -2.044560792369329e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7346.230186247283    All      1.7236863960249495e-05     -1.0953303910269604e-05    -7.521211294929979e-05     -1.253883626859061e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4641.677116627993    All      -0.00012581958277276692    0.00012003853350867946     -8.256443054871208e-05     7.63996056339651e-05       
Lambda        AB|SDSS|SDSS_u                           3470.248154834643    All      -9.771934711037572e-05     5.173783197184012e-05      -9.177355338172475e-06     4.8273577003545993e-05     
MWEBV         All|All|All                              All                  All      -0.891147025398709         -3.8811368273119484        0.015387723179705048       -0.973251362813557         
Redshift      All|All|All                              All                  All      3.0930178538544935         -0.9012682039791997        4.014195457631375          -1.1219352704033208        
