#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4817.521757771683    All      -1.1237843757401018       1.2719692022873375        -0.21719736071381668      0.7706832376578654         
Zeropoint     AB|PS|PS_i                7410.1328902241      All      0.4259421221137025        -0.025701111679587996     1.0050327824495664        -0.10226506273540714       
Zeropoint     AB|PS|PS_z                8516.050813868716    All      0.46402606173489913       -0.10902418268798897      0.22068970964906898       -0.1768129492511289        
Zeropoint     AB|PS|PS_r                6117.925590488847    All      1.2297252599806345        -0.13531533907169546      -0.9727296401949803       -0.4880470878693949        
Check         All|All|All               All                  All      0.995909068089134         1.001928568848065         0.03579549118983838       0.00355813780193448        
Lambda        AB|PS|PS_g                4817.521757771683    All      -0.0003671759386311557    1.3840938169403451e-05    -0.003615018226891951     -3.721192843115255e-05     
Lambda        AB|PS|PS_i                7410.1328902241      All      -5.279338235520642e-05    6.677900501486072e-06     -7.041767165132638e-05    1.622933610438462e-05      
Lambda        AB|PS|PS_z                8516.050813868716    All      0.0005274704936862639     -9.897817977258698e-05    0.0005951025739578751     -0.00017749824782626125    
Lambda        AB|PS|PS_r                6117.925590488847    All      -6.913539569106179e-05    1.088579227115005e-05     2.873061836018003e-05     2.7347649080637302e-05     
MWEBV         All|All|All               All                  All      -0.6791393089228386       -4.084029274432677        0.21181491326416335       -1.099632352570895         
Redshift      All|All|All               All                  All      3.000663199105559         1.5635504018169044        14.291128752132353        0.16963252174380383        
