#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4817.521757771683    All      -1.104620097067183        1.2678680751178284         -0.023100369230645127     0.7717665868405253         
Zeropoint     AB|PS|PS_i                7410.1328902241      All      0.3795189222737555        -0.04118111477859898       0.6431849962274442        -0.10833345034827187       
Zeropoint     AB|PS|PS_z                8516.050813868716    All      0.4722936898579645        -0.10990999072539864       0.1745741244762881        -0.18185245131273997       
Zeropoint     AB|PS|PS_r                6117.925590488847    All      1.2535876294547725        -0.11685387108339995       -0.7771460063284258       -0.48107833987138987       
Check         All|All|All               All                  All      1.0007801445193099        0.9999230985304308         0.01751274514466128       0.0005023453081235973      
Lambda        AB|PS|PS_g                4817.521757771683    All      -0.0002221758723049502    -0.00019761391560463074    -0.0037448877767700117    -0.00015911650446813428    
Lambda        AB|PS|PS_i                7410.1328902241      All      -3.219355823395652e-05    1.0754522618710097e-05     4.853611496925597e-05     1.6155546776369604e-05     
Lambda        AB|PS|PS_z                8516.050813868716    All      0.0005904960957789108     -0.00010918463290609226    0.0006321552898442183     -0.00019969884494343493    
Lambda        AB|PS|PS_r                6117.925590488847    All      -0.0001253609013883023    6.846426342904396e-06      -8.720515607782647e-06    4.2675119574247714e-05     
MWEBV         All|All|All               All                  All      -0.6842693815887899       -4.0838490400772365        0.17807849158579164       -1.0994081124238415        
Redshift      All|All|All               All                  All      2.659502796062874         2.397355806584933          12.5031135360463          0.47256663353759054        
