#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    3885.8801103763485    All      -0.8789982536784985       0.6218290533869464         -0.7677362626248109        0.45460828634718103        
Zeropoint     VEGAHST|TONRY|TONRY_J            6097.788539195038     All      1.75053585475426          0.24077712537469154        -0.26770711632396516       -0.5037246268130137        
Zeropoint     VEGAHST|TONRY|TONRY_Z            4456.409444065054     All      0.1278114485837893        0.13648323920190109        1.027777510307918          0.048689677371432115       
Check         All|All|All                      All                   All      0.9993490496595511        0.999089417963539          -0.007665868640857942      -0.0004266630944005159     
Lambda        Linear_AB11_off|TONRY|TONRY_I    3885.8801103763485    All      -0.0009699375236597841    0.0005680793979329713      -0.0020686935567370145     0.00040866641834520664     
Lambda        VEGAHST|TONRY|TONRY_J            6097.788539195038     All      0.00016465811804322684    2.248419363997627e-05      -2.5087295653641586e-05    -4.74302553445601e-05      
Lambda        VEGAHST|TONRY|TONRY_Z            4456.409444065054     All      -3.779985076416191e-05    -2.4017258749539113e-05    -0.000398479092994284      -1.3292848119086035e-05    
MWEBV         All|All|All                      All                   All      -0.07853968130513533      -1.451902709601427         0.028590600851076783       -0.44607365341358124       
Redshift      All|All|All                      All                   All      2.464924653145512         0.3604461037140183         2.4523268455676464         -0.5760618148497478        
