#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    3885.8801103763485    All      -0.8982786041441354        0.626313577354054          -0.638741886526839         0.4681057143465839        
Zeropoint     VEGAHST|TONRY|TONRY_J            6097.788539195038     All      1.7430269196513093         0.24865904316655474        -0.28183816317347565       -0.4993419234004953       
Zeropoint     VEGAHST|TONRY|TONRY_Z            4456.409444065054     All      0.15493588970407768        0.12422191866612309        0.9129346481951739         0.030735529565076303      
Check         All|All|All                      All                   All      0.9996842052112515         0.9991945391867318         -0.007645401505140814      -0.0005006794888351429    
Lambda        Linear_AB11_off|TONRY|TONRY_I    3885.8801103763485    All      -0.00087368324282929       0.0003256205909111117      -0.0032441119161488647     0.00024588289942280365    
Lambda        VEGAHST|TONRY|TONRY_J            6097.788539195038     All      -0.00016681902112755458    -2.6347757863150806e-05    -5.5353446071937536e-05    4.3285941743501097e-05    
Lambda        VEGAHST|TONRY|TONRY_Z            4456.409444065054     All      -3.1250013851271205e-05    -3.184936854205916e-05     -0.0003505159510905101     -1.583714657660842e-05    
MWEBV         All|All|All                      All                   All      -0.07589495355851028       -1.4505486754270436        0.03889647087009784        -0.4460341711268176       
Redshift      All|All|All                      All                   All      3.051457911956831          0.8430832709468206         3.973482366145409          -0.5420220054879771       
